generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
38,0.443388,0.0232362220681418,0.16633154222038996,0.023160274558229065,0.025601929483871327,0.013344216564472468,1.0,0.0,1.0,0.0,6495680.615893883,7482610179.26,290.2452620028643,6518220.047074858,41427.02744349495,7443014262.253,56245933.25561334,297.84807135190306,9.320058339848378,0
39,0.443388,0.0232362220681418,0.16633154222038996,0.023160274558229065,0.025601929483871327,0.013344216564472468,1.0,0.0,1.0,0.0,6494280.846306463,7482610179.26,288.10671953441687,6516463.536965369,40355.977774302686,7429510473.445,66289280.10264803,297.0641850636724,9.357159742733934,0
40,0.478578,0.02294189957261605,0.13972365201263717,0.018377470191359806,0.02439491798217343,0.013910638810452047,1.0,0.0,1.0,0.0,6494280.846306463,7482610179.26,288.10671953441687,6512776.902094073,41821.78011520197,7417833108.481,69103380.76043229,297.05353872155945,9.36282289746762,0
41,0.478578,0.02294189957261605,0.13972365201263717,0.018377470191359806,0.02439491798217343,0.013910638810452047,1.0,0.0,1.0,0.0,6486170.181897845,7399939018.619999,288.10671953441687,6509305.775977747,39495.72491206478,7389494994.523,78727175.55755763,295.1989466934084,5.252811006904752,0
42,0.478578,0.02294189957261605,0.13972365201263717,0.018377470191359806,0.02439491798217343,0.013910638810452047,1.0,0.0,1.0,0.0,6486170.181897845,7399939018.619999,288.10671953441687,6502496.643269073,38852.08183477211,7374409257.2960005,79222026.36646384,294.8203777080027,5.266994078391837,0
43,0.478578,0.02294189957261605,0.13972365201263717,0.018377470191359806,0.02439491798217343,0.013910638810452047,1.0,0.0,1.0,0.0,6486170.181897845,7399939018.619999,288.10671953441687,6499997.270297777,38773.66198917534,7365655814.601001,79263765.73188293,294.56020076615795,5.412172065458515,0
44,0.478578,0.02294189957261605,0.13972365201263717,0.018377470191359806,0.02439491798217343,0.013910638810452047,1.0,0.0,1.0,0.0,6481797.279072944,7399939018.619999,287.38815406251115,6497618.823479909,38563.923947144925,7350782907.324,84157131.23452245,294.44907282227757,5.55952254943824,0
45,0.504788,0.028135326122154677,0.12095036139768767,0.018953127069546806,0.015038211338066784,0.0032287066774915685,1.0,0.0,1.0,0.0,6469697.001233559,7399939018.619999,287.38815406251115,6495289.2386789955,39442.00574065682,7341979662.622999,88157619.18270688,294.3145547378766,5.567866632354053,0
46,0.504788,0.028135326122154677,0.12095036139768767,0.018953127069546806,0.015038211338066784,0.0032287066774915685,1.0,0.0,1.0,0.0,6456861.567425325,7305254402.75,287.38815406251115,6492847.098296037,40312.678273940066,7325977122.217999,85250024.51482634,294.2903457124203,5.5777663877614,0
47,0.504788,0.028135326122154677,0.12095036139768767,0.018953127069546806,0.015038211338066784,0.0032287066774915685,1.0,0.0,1.0,0.0,6456861.567425325,7305254402.75,287.38815406251115,6490920.642971127,41167.38960471883,7321908178.412,85877943.7503213,294.27273790126685,5.55000966978312,0
48,0.504788,0.028135326122154677,0.12095036139768767,0.018953127069546806,0.015038211338066784,0.0032287066774915685,1.0,0.0,1.0,0.0,6456861.567425325,7305254402.75,287.38815406251115,6487425.817550589,37545.2507386014,7319970808.8619995,85202284.19405316,294.17265766247164,5.550396456925907,0
49,0.504788,0.028135326122154677,0.12095036139768767,0.018953127069546806,0.015038211338066784,0.0032287066774915685,1.0,0.0,1.0,0.0,6456861.567425325,7305254402.75,287.38815406251115,6484248.836573198,37117.92546953137,7319970808.8619995,85202284.19405316,294.01029354269184,5.584296581147864,0
50,0.5208079999999999,0.02988123451265024,0.11061217231010592,0.01970601569878855,0.013320495350754177,0.0022503298910795445,1.0,0.0,1.0,0.0,6447245.206423643,7305254402.75,287.38815406251115,6480413.811561381,38967.97982944715,7313200386.084,82277307.70291181,293.5078517343003,6.090564755239275,0
51,0.5208079999999999,0.02988123451265024,0.11061217231010592,0.01970601569878855,0.013320495350754177,0.0022503298910795445,1.0,0.0,1.0,0.0,6447245.206423643,7305254402.75,287.38815406251115,6475806.6882305825,38605.55083693295,7310952100.3880005,82020870.30591126,293.5078517343003,6.090564755239275,0
52,0.5208079999999999,0.02988123451265024,0.11061217231010592,0.01970601569878855,0.013320495350754177,0.0022503298910795445,1.0,0.0,1.0,0.0,6442250.296588693,7280099886.4,287.38815406251115,6471764.581891655,31818.137162837913,7308391628.38,82559586.8742952,293.50705479892093,6.089327740508946,0
