solution_id,decision_fingerprint,seed,S,objective,comparison,reference_oos_seed,comparison_oos_seed,histogram_bins,histogram_smoothing,js_distance,js_divergence,wasserstein,wasserstein_normalized,wasserstein_scale,wasserstein_scale_basis,ks_statistic,ks_pvalue,kl_sample_to_oos,kl_oos_to_sample,symmetric_kl,sample_mean,oos_mean,mean_signed_error_pct,mean_absolute_error_pct,q90_reestimate,q90_oos,signed_error,signed_error_pct,coverage,exceedance,coverage_gap_pp,absolute_coverage_gap_pp
formal-run-01-CCP30-solution-0155,042edf901427f58874f8f1902cc71d888a07257e6c2c844170af6abb264ad7f4,930002,5000,cost,independent_oos_baseline,930001,930002,20,0.5,0.032094457254240975,0.0010300541864443013,13002.237416090518,0.03732792428265247,348324.68362386525,oos_iqr,0.02059999999999995,0.23676066509226357,0.004732531859981045,0.003802207376132542,0.004267369618056793,11928963.41704436,11916210.590010518,0.10702082627284892,0.10702082627284892,12309304.876258142,12281275.795503572,28029.080754570663,0.22822613237651326,0.9132,0.08679999999999999,1.319999999999999,1.319999999999999
formal-run-01-CCP30-solution-0155,042edf901427f58874f8f1902cc71d888a07257e6c2c844170af6abb264ad7f4,930002,5000,emission,independent_oos_baseline,930001,930002,20,0.5,0.03654313046435959,0.0013354003841352059,257287.51405959576,0.025231916317702312,10196907.393795013,oos_iqr,0.022600000000000064,0.15356912653670052,0.005432542713742444,0.005293191578273223,0.005362867146007833,9298111167.356491,9298030676.393377,0.000865677538773259,0.000865677538773259,9310306692.504578,9310032695.309813,273997.19476509094,0.002943031498730661,0.9036,0.09640000000000004,0.35999999999999366,0.35999999999999366
formal-run-01-CCP30-solution-0155,042edf901427f58874f8f1902cc71d888a07257e6c2c844170af6abb264ad7f4,930002,5000,makespan,independent_oos_baseline,930001,930002,20,0.5,0.04365433210294488,0.001905700711354204,1.756955173418847,0.03675530010284643,47.80141009603085,oos_iqr,0.019399999999999973,0.3008012928035356,0.008728130376357196,0.007279888178666814,0.008004009277512006,514.2015371050272,512.7134325614784,0.2902409901988296,0.2902409901988296,572.6130171531156,571.9603842592173,0.6526328938982715,0.1141045624590833,0.9142,0.08579999999999999,1.419999999999999,1.419999999999999
formal-run-01-CCP30-solution-0156,929c565e220b1f523e095f9341b995353d9d321365d4ac5cb3353d1901d79414,930002,5000,cost,independent_oos_baseline,930001,930002,20,0.5,0.038317028545859805,0.0014681946765842352,9912.133559814309,0.0380247642748443,260675.7398459874,oos_iqr,0.023799999999999988,0.11612252501738525,0.007140654842407985,0.00536769627688871,0.0062541755596483475,11685385.385146353,11675803.48875794,0.08206626976583944,0.08206626976583944,11969687.865200682,11942409.85689793,27278.00830275193,0.22841293030146814,0.914,0.08599999999999997,1.4000000000000012,1.4000000000000012
formal-run-01-CCP30-solution-0156,929c565e220b1f523e095f9341b995353d9d321365d4ac5cb3353d1901d79414,930002,5000,emission,independent_oos_baseline,930001,930002,20,0.5,0.03438215340628247,0.0011821324728531414,291180.6324165444,0.028722802701433854,10137612.107122421,oos_iqr,0.022199999999999998,0.16801422440099156,0.004799097321948216,0.004669880448948399,0.004734488885448307,9962722633.413,9962658979.520765,0.0006389247325001202,0.0006389247325001202,9974896442.926474,9974668342.646503,228100.27997016907,0.002286795632040523,0.905,0.09499999999999997,0.5000000000000004,0.5000000000000004
formal-run-01-CCP30-solution-0156,929c565e220b1f523e095f9341b995353d9d321365d4ac5cb3353d1901d79414,930002,5000,makespan,independent_oos_baseline,930001,930002,20,0.5,0.03955932394143539,0.0015649401107034231,1.8275728774541904,0.03546270478965565,51.53506728531568,oos_iqr,0.02080000000000004,0.22715738303255884,0.006792925241251994,0.006077157468958085,0.00643504135510504,514.2203856187206,512.4347778702316,0.3484556133973236,0.3484556133973236,572.3700776390971,571.7619586178174,0.6081190212796628,0.10635877608047505,0.9144,0.08560000000000001,1.4399999999999968,1.4399999999999968
formal-run-01-CCP30-solution-0157,fd587355c5f6f578169ba238cac81967821878ecbdd755a777e7ae6101b42e19,930002,5000,cost,independent_oos_baseline,930001,930002,20,0.5,0.03215016818441222,0.0010336333142859917,12219.667397544416,0.038520320626970805,317226.5235245358,oos_iqr,0.021399999999999975,0.20011475900980857,0.004528790522470387,0.0039724286989039565,0.004250609610687172,11937992.412855973,11925940.05607843,0.10106001473150403,0.10106001473150403,12287519.164184298,12257125.631747762,30393.532436536625,0.24796623082505492,0.914,0.08599999999999997,1.4000000000000012,1.4000000000000012
formal-run-01-CCP30-solution-0157,fd587355c5f6f578169ba238cac81967821878ecbdd755a777e7ae6101b42e19,930002,5000,emission,independent_oos_baseline,930001,930002,20,0.5,0.03266992143169698,0.0010673237663532539,258787.02674353065,0.024404442357957863,10604095.063829422,oos_iqr,0.021199999999999997,0.2088385883788043,0.004356390962971893,0.004205458887906642,0.004280924925439267,9450891977.467556,9450769104.849344,0.0013001335325047594,0.0013001335325047594,9463329794.985107,9462841698.70951,488096.27559661865,0.005158030654398271,0.908,0.09199999999999997,0.8000000000000007,0.8000000000000007
formal-run-01-CCP30-solution-0157,fd587355c5f6f578169ba238cac81967821878ecbdd755a777e7ae6101b42e19,930002,5000,makespan,independent_oos_baseline,930001,930002,20,0.5,0.03300613870315314,0.0010894051920917833,2.1077974319520814,0.03707080618230483,56.858688791025145,oos_iqr,0.021199999999999997,0.2088385883788043,0.004842690999216418,0.004104725116766139,0.004473708057991278,521.3855838126851,519.2816503709876,0.4051622929857933,0.4051622929857933,577.7330332471454,575.4464407803484,2.2865924667969466,0.39735973754501913,0.9138,0.08620000000000005,1.3799999999999923,1.3799999999999923
formal-run-01-CCP30-solution-0158,3e4fe7b07c6e6ef3acef4afa8e7b32a0ab26ace9d3893aca6a7ec86df7ff342f,930002,5000,cost,independent_oos_baseline,930001,930002,20,0.5,0.03897645370587122,0.0015191639434859222,12893.069127538973,0.0444101856205729,290317.8391933199,oos_iqr,0.02400000000000002,0.11067945593694506,0.007333615930975127,0.005550397457484166,0.006442006694229646,11782498.593901208,11770658.057055464,0.10059366934583837,0.10059366934583837,12118357.029437248,12092122.27551438,26234.75392286852,0.21695739858661442,0.9134,0.08660000000000001,1.3399999999999967,1.3399999999999967
