master_seed,S,min_on_time_prob,binding_batch,binding_batch_set,chance_vio_total,chance_constraint_pass,max_late_excess_h,maxlate_screen_pass,miss_alloc,miss_tt,cap_excess,border_cap_excess,nonccp_hard_pass,feasible_hard,obj_cost,obj_emission_gCO2,obj_time_h,penalty,candidate_id,candidate_fingerprint,stratum,binding_batches
810002,500,0.892,2,"2,17",0.016000000000000014,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7255119.932103224,7155341549.26,433.1356767166736,16000000.000000015,S1-01,980776db2467d81a3564740bdb4ad022c116dfc9796be8748e49de3684b57385,KNIFE,2|17
810002,500,0.892,2,"2,17",0.016000000000000014,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6720646.252604926,7088706227.360001,456.4467191983741,16000000.000000015,S1-02,e076076a493c9a9fecd89aa712afd11fa9cc3cdce2ce014987b0f0fe862c247d,KNIFE,2|17
810002,500,0.892,2,2,0.01200000000000001,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6928045.483098196,7887089349.070001,397.29026523433896,12000000.000000011,S1-03,e8942358d76782a9b97983734bb2cf2d4925edde76bf34b013857987a6d07591,KNIFE,2
810002,500,0.896,17,17,0.0040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6912695.568163141,8345740271.040001,395.475309904531,4000000.0000000037,S1-04,2fbdff2cf85833d2f25518e9e46cdb4092302467d94deae2a413a8ff7b39e0ea,OFF,17
810002,500,0.892,2,2,0.008000000000000007,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6996037.43383904,8013513563.38,395.6095009780618,8000000.000000007,S1-05,0b60f5ac3979e3d6c31937743b10148e837da4158c31b88b904216b3dc1384a2,KNIFE,2
810002,500,0.892,2,2,0.008000000000000007,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6896345.01259437,8096246576.780001,395.6095009780618,8000000.000000007,S1-06,48d52933dafc91da0fbdf6d1998d6a15c7958c4a5263e9422d67d354ce765a01,KNIFE,2
810002,500,0.926,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7293493.532482137,8219219881.48,467.16727528722294,0.0,S1-07,a18d3cb935f4bfecee271aef01fa76ccbbcd3dcdde281613c9c85fed27cfeb15,OFF,8
810002,500,0.938,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7236911.838963472,9044968863.32,402.8754576473269,0.0,S1-08,df02d8bdb02eaad5d040102be1b952d67f28556d77a5f2f9034b7520bbb80a63,OFF,2
810002,500,0.948,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7144111.177229691,8344498311.79,411.0229670346181,0.0,S1-09,25d825efc4ab35fe1e8f79b49c4f34e7d9da53690921dd3fdb7aef692428c45e,OFF,2
810002,500,0.968,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6747645.369381391,8134627364.78,391.3341554303845,0.0,S1-10,8f40fed8dfa17df7cd43c7c75460a77fd79256fd5af7897a41c10ccd0ec08352,OFF,16
810002,1000,0.895,17,17,0.007000000000000006,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7007365.446431266,7155341549.26,431.9994091698565,7000000.0000000065,S1-01,980776db2467d81a3564740bdb4ad022c116dfc9796be8748e49de3684b57385,KNIFE,17
810002,1000,0.895,17,17,0.007000000000000006,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6710708.706686514,7088706227.360001,441.6579072234054,7000000.0000000065,S1-02,e076076a493c9a9fecd89aa712afd11fa9cc3cdce2ce014987b0f0fe862c247d,KNIFE,17
810002,1000,0.9,2,"2,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6901664.479818757,7887089349.070001,395.424334907229,0.0,S1-03,e8942358d76782a9b97983734bb2cf2d4925edde76bf34b013857987a6d07591,KNIFE,2|17
810002,1000,0.9,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6907734.373422,8345740271.040001,391.35792089241045,0.0,S1-04,2fbdff2cf85833d2f25518e9e46cdb4092302467d94deae2a413a8ff7b39e0ea,OFF,17
810002,1000,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6967507.186240443,8013513563.38,392.28351282956055,0.0,S1-05,0b60f5ac3979e3d6c31937743b10148e837da4158c31b88b904216b3dc1384a2,KNIFE,2
810002,1000,0.9,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6868673.472822732,8096246576.780001,392.28351282956055,0.0,S1-06,48d52933dafc91da0fbdf6d1998d6a15c7958c4a5263e9422d67d354ce765a01,KNIFE,2
810002,1000,0.927,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7109077.888091633,8219219881.48,465.8691279716523,0.0,S1-07,a18d3cb935f4bfecee271aef01fa76ccbbcd3dcdde281613c9c85fed27cfeb15,OFF,8
810002,1000,0.95,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7123027.199267826,9044968863.32,390.29117584203584,0.0,S1-08,df02d8bdb02eaad5d040102be1b952d67f28556d77a5f2f9034b7520bbb80a63,OFF,2
810002,1000,0.958,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7110098.074726769,8344498311.79,410.46705741659423,0.0,S1-09,25d825efc4ab35fe1e8f79b49c4f34e7d9da53690921dd3fdb7aef692428c45e,OFF,2
810002,1000,0.978,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6747022.302165604,8134627364.78,386.8520769952239,0.0,S1-10,8f40fed8dfa17df7cd43c7c75460a77fd79256fd5af7897a41c10ccd0ec08352,OFF,16
810003,200,0.86,17,17,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,7258845.854948653,7155341549.26,459.79583211949836,40000000.00000004,S1-01,980776db2467d81a3564740bdb4ad022c116dfc9796be8748e49de3684b57385,KNIFE,17
810003,200,0.86,17,17,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6730880.372804741,7088706227.360001,458.3123838747854,40000000.00000004,S1-02,e076076a493c9a9fecd89aa712afd11fa9cc3cdce2ce014987b0f0fe862c247d,KNIFE,17
810003,200,0.86,17,17,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6926546.11283718,7887089349.070001,395.35176215085784,40000000.00000004,S1-03,e8942358d76782a9b97983734bb2cf2d4925edde76bf34b013857987a6d07591,KNIFE,17
810003,200,0.86,17,17,0.040000000000000036,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6912545.340042555,8345740271.040001,393.3201738847627,40000000.00000004,S1-04,2fbdff2cf85833d2f25518e9e46cdb4092302467d94deae2a413a8ff7b39e0ea,OFF,17
810003,200,0.905,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6940056.898380545,8013513563.38,393.73608985844584,0.0,S1-05,0b60f5ac3979e3d6c31937743b10148e837da4158c31b88b904216b3dc1384a2,KNIFE,2
810003,200,0.905,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6839068.086351662,8096246576.780001,393.73608985844584,0.0,S1-06,48d52933dafc91da0fbdf6d1998d6a15c7958c4a5263e9422d67d354ce765a01,KNIFE,2
810003,200,0.905,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7080249.913841738,8219219881.48,466.5078970495875,0.0,S1-07,a18d3cb935f4bfecee271aef01fa76ccbbcd3dcdde281613c9c85fed27cfeb15,OFF,8
810003,200,0.955,5,"5,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7119186.702910448,9044968863.32,387.2100269230365,0.0,S1-08,df02d8bdb02eaad5d040102be1b952d67f28556d77a5f2f9034b7520bbb80a63,OFF,5|17
810003,200,0.955,5,"5,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7108278.510616228,8344498311.79,412.49387191351457,0.0,S1-09,25d825efc4ab35fe1e8f79b49c4f34e7d9da53690921dd3fdb7aef692428c45e,OFF,5|17
810003,200,0.97,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6745998.509748854,8134627364.78,390.6957273706982,0.0,S1-10,8f40fed8dfa17df7cd43c7c75460a77fd79256fd5af7897a41c10ccd0ec08352,OFF,16
810003,500,0.88,17,17,0.020000000000000018,False,3.1725276498588073,False,0.0,0.0,0.0,0.0,True,False,6958358.277935606,7155341549.26,432.2081461743766,3192527649.858807,S1-01,980776db2467d81a3564740bdb4ad022c116dfc9796be8748e49de3684b57385,KNIFE,17
810003,500,0.88,17,17,0.020000000000000018,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6688092.079462676,7088706227.360001,456.32620987004503,20000000.00000002,S1-02,e076076a493c9a9fecd89aa712afd11fa9cc3cdce2ce014987b0f0fe862c247d,KNIFE,17
810003,500,0.888,17,17,0.01200000000000001,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6869795.5772263,7887089349.070001,395.2832124393932,12000000.000000011,S1-03,e8942358d76782a9b97983734bb2cf2d4925edde76bf34b013857987a6d07591,KNIFE,17
810003,500,0.888,17,17,0.01200000000000001,False,0.0,True,0.0,0.0,0.0,0.0,True,False,6908105.1638142,8345740271.040001,393.4875982965317,12000000.000000011,S1-04,2fbdff2cf85833d2f25518e9e46cdb4092302467d94deae2a413a8ff7b39e0ea,OFF,17
810003,500,0.914,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6891092.721080603,8013513563.38,391.922589939586,0.0,S1-05,0b60f5ac3979e3d6c31937743b10148e837da4158c31b88b904216b3dc1384a2,KNIFE,2
810003,500,0.914,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6791378.044359382,8096246576.780001,391.922589939586,0.0,S1-06,48d52933dafc91da0fbdf6d1998d6a15c7958c4a5263e9422d67d354ce765a01,KNIFE,2
810003,500,0.904,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7166554.114679214,8219219881.48,466.869098715072,0.0,S1-07,a18d3cb935f4bfecee271aef01fa76ccbbcd3dcdde281613c9c85fed27cfeb15,OFF,8
810003,500,0.956,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7117440.397475505,9044968863.32,387.9254480625559,0.0,S1-08,df02d8bdb02eaad5d040102be1b952d67f28556d77a5f2f9034b7520bbb80a63,OFF,2
810003,500,0.96,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7108213.152801776,8344498311.79,410.6988984710866,0.0,S1-09,25d825efc4ab35fe1e8f79b49c4f34e7d9da53690921dd3fdb7aef692428c45e,OFF,2
810003,500,0.97,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6746099.541738574,8134627364.78,385.0824549503615,0.0,S1-10,8f40fed8dfa17df7cd43c7c75460a77fd79256fd5af7897a41c10ccd0ec08352,OFF,16
810003,1000,0.906,17,17,0.0,True,3.1725276498588073,False,0.0,0.0,0.0,0.0,True,False,6958358.277935606,7155341549.26,432.0643785625163,3172527649.858807,S1-01,980776db2467d81a3564740bdb4ad022c116dfc9796be8748e49de3684b57385,KNIFE,17
810003,1000,0.906,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6688092.079462676,7088706227.360001,455.9155225882104,0.0,S1-02,e076076a493c9a9fecd89aa712afd11fa9cc3cdce2ce014987b0f0fe862c247d,KNIFE,17
810003,1000,0.907,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6869795.5772263,7887089349.070001,394.8301497769469,0.0,S1-03,e8942358d76782a9b97983734bb2cf2d4925edde76bf34b013857987a6d07591,KNIFE,2
810003,1000,0.912,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6900389.691120647,8345740271.040001,393.0053430695118,0.0,S1-04,2fbdff2cf85833d2f25518e9e46cdb4092302467d94deae2a413a8ff7b39e0ea,OFF,17
810003,1000,0.907,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6906782.806647004,8013513563.38,391.922589939586,0.0,S1-05,0b60f5ac3979e3d6c31937743b10148e837da4158c31b88b904216b3dc1384a2,KNIFE,2
810003,1000,0.907,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6809159.281415776,8096246576.780001,391.922589939586,0.0,S1-06,48d52933dafc91da0fbdf6d1998d6a15c7958c4a5263e9422d67d354ce765a01,KNIFE,2
810003,1000,0.912,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7141068.926185975,8219219881.48,466.7059807541254,0.0,S1-07,a18d3cb935f4bfecee271aef01fa76ccbbcd3dcdde281613c9c85fed27cfeb15,OFF,8
810003,1000,0.95,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7117440.397475505,9044968863.32,389.44367968374627,0.0,S1-08,df02d8bdb02eaad5d040102be1b952d67f28556d77a5f2f9034b7520bbb80a63,OFF,2
810003,1000,0.956,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7106677.127897586,8344498311.79,410.43313408859126,0.0,S1-09,25d825efc4ab35fe1e8f79b49c4f34e7d9da53690921dd3fdb7aef692428c45e,OFF,2
810003,1000,0.969,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6746099.541738574,8134627364.78,385.5051836885118,0.0,S1-10,8f40fed8dfa17df7cd43c7c75460a77fd79256fd5af7897a41c10ccd0ec08352,OFF,16
810004,200,0.915,12,12,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6953099.0548509285,7155341549.26,431.54771462384156,0.0,S1-01,980776db2467d81a3564740bdb4ad022c116dfc9796be8748e49de3684b57385,KNIFE,12
810004,200,0.925,17,17,0.0,True,29.470162771540117,False,0.0,0.0,0.0,0.0,True,False,6507285.8965264745,7088706227.360001,411.43304005065573,29470162771.54012,S1-02,e076076a493c9a9fecd89aa712afd11fa9cc3cdce2ce014987b0f0fe862c247d,KNIFE,17
810004,200,0.925,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6778848.064848279,7887089349.070001,389.72582167058596,0.0,S1-03,e8942358d76782a9b97983734bb2cf2d4925edde76bf34b013857987a6d07591,KNIFE,17
810004,200,0.925,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6885270.508637659,8345740271.040001,386.95193742209597,0.0,S1-04,2fbdff2cf85833d2f25518e9e46cdb4092302467d94deae2a413a8ff7b39e0ea,OFF,17
810004,200,0.935,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6843969.511521102,8013513563.38,372.243388567927,0.0,S1-05,0b60f5ac3979e3d6c31937743b10148e837da4158c31b88b904216b3dc1384a2,KNIFE,2
810004,200,0.935,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6743209.570722448,8096246576.780001,372.243388567927,0.0,S1-06,48d52933dafc91da0fbdf6d1998d6a15c7958c4a5263e9422d67d354ce765a01,KNIFE,2
810004,200,0.95,8,8,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6983951.28597452,8219219881.48,411.50317271813515,0.0,S1-07,a18d3cb935f4bfecee271aef01fa76ccbbcd3dcdde281613c9c85fed27cfeb15,OFF,8
810004,200,0.965,2,2,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7114132.782600668,9044968863.32,387.0439438381372,0.0,S1-08,df02d8bdb02eaad5d040102be1b952d67f28556d77a5f2f9034b7520bbb80a63,OFF,2
810004,200,0.97,2,"2,17",0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,7102117.146955121,8344498311.79,403.82275463892444,0.0,S1-09,25d825efc4ab35fe1e8f79b49c4f34e7d9da53690921dd3fdb7aef692428c45e,OFF,2|17
810004,200,0.985,16,16,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6744509.830407098,8134627364.78,369.7569881248463,0.0,S1-10,8f40fed8dfa17df7cd43c7c75460a77fd79256fd5af7897a41c10ccd0ec08352,OFF,16
810004,500,0.908,17,17,0.0,True,0.0,True,0.0,0.0,0.0,0.0,True,True,6967743.179326161,7155341549.26,431.7880942255231,0.0,S1-01,980776db2467d81a3564740bdb4ad022c116dfc9796be8748e49de3684b57385,KNIFE,17
810004,500,0.908,17,17,0.0,True,29.470162771540117,False,0.0,0.0,0.0,0.0,True,False,6680632.867218428,7088706227.360001,420.9285417312925,29470162771.54012,S1-02,e076076a493c9a9fecd89aa712afd11fa9cc3cdce2ce014987b0f0fe862c247d,KNIFE,17
