role,seed,S,objective,solution_count,mean_coverage,median_coverage,p05_coverage,p95_coverage,min_coverage,max_coverage,mean_abs_gap_pp,mean_signed_error_pct,below_90_count,above_90_count,equal_90_count
independent_reestimate,940007,30,emission,263,0.8080806083650189,0.8046,0.77862,0.84812,0.7692,0.8606,9.1919391634981,-0.052221930357620745,263,0,0
independent_reestimate,940007,30,makespan,263,0.9251840304182509,0.9258,0.88946,0.9527599999999999,0.8804,0.9578,2.755665399239542,0.9038507895220299,44,219,0
independent_reestimate,940007,100,cost,263,0.9249589353612166,0.9306,0.89564,0.9425399999999999,0.875,0.9482,2.6358174904942953,0.4843684183685508,26,236,1
independent_reestimate,940007,100,emission,263,0.8948745247148289,0.8958,0.8792,0.90906,0.8724,0.9204,0.8149049429657806,-0.0036102378740523974,185,76,2
independent_reestimate,940007,100,makespan,263,0.8981589353612167,0.9068,0.84568,0.919,0.835,0.9318,1.7222053231939156,-0.25514104000854043,87,176,0
independent_reestimate,940007,300,cost,263,0.9032296577946768,0.9034,0.8946,0.9122,0.8836,0.9176,0.5295057034220524,0.05167090225037531,73,188,2
independent_reestimate,940007,300,emission,263,0.9054038022813687,0.9058,0.8972,0.91358,0.8906,0.9204,0.6217490494296569,0.00399193059251135,47,214,2
independent_reestimate,940007,300,makespan,263,0.9110684410646387,0.9146,0.8942,0.92298,0.8746,0.9302,1.3489733840304168,0.20977806754279252,53,210,0
independent_reestimate,940008,30,cost,263,0.8149026615969583,0.8114,0.7876,0.85738,0.7468,0.8746,8.509733840304184,-1.0191142545112721,263,0,0
independent_reestimate,940008,30,emission,263,0.8962121673003802,0.896,0.87826,0.9135599999999999,0.8708,0.926,0.8926996197718637,-0.0021583759527914453,170,92,1
independent_reestimate,940008,30,makespan,263,0.9145285171102661,0.9156,0.8916,0.938,0.8804,0.9418,1.6673003802281348,0.26257214955421637,29,232,2
independent_reestimate,940008,100,cost,263,0.8775657794676807,0.8796,0.852,0.8982,0.8424,0.9104,2.265627376425858,-0.2999039789139812,256,7,0
independent_reestimate,940008,100,emission,263,0.9009992395437262,0.9016,0.88402,0.9167399999999999,0.8788,0.9226,0.7367300380228134,0.0008230575344617795,118,144,1
independent_reestimate,940008,100,makespan,263,0.8894524714828898,0.8878,0.87562,0.9045799999999999,0.8562,0.9136,1.1633460076045645,-0.3455057241035489,236,27,0
independent_reestimate,940008,300,cost,263,0.9121026615969581,0.912,0.9,0.923,0.8952,0.926,1.2289733840304167,0.206714328899121,13,248,2
independent_reestimate,940008,300,emission,263,0.882603041825095,0.8824,0.87546,0.8918,0.8718,0.902,1.7412167300380248,-0.011454125303557511,262,1,0
independent_reestimate,940008,300,makespan,263,0.8924570342205322,0.8912,0.8848,0.9038,0.8764,0.9128,0.8511787072243362,-0.30416776484692726,233,27,3
independent_reestimate,940009,30,cost,263,0.9359186311787072,0.9368,0.9198,0.95236,0.9078,0.9594,3.5918631178707194,0.7049049128778506,0,263,0
independent_reestimate,940009,30,emission,263,0.8220304182509507,0.8208,0.80206,0.84712,0.7878,0.8664,7.796958174904946,-0.04545049929531652,263,0,0
independent_reestimate,940009,30,makespan,263,0.8326372623574145,0.8284,0.7758,0.8890999999999999,0.77,0.8998,6.7362737642585575,-3.053224743920383,263,0,0
independent_reestimate,940009,100,cost,263,0.8997269961977186,0.9022,0.87482,0.9186,0.8678,0.934,1.2840304182509503,0.008623593119923065,118,143,2
independent_reestimate,940009,100,emission,263,0.8496144486692015,0.85,0.83464,0.86478,0.8258,0.872,5.038555133079849,-0.0307231762178946,263,0,0
independent_reestimate,940009,100,makespan,263,0.8618114068441065,0.8586,0.8464,0.8887200000000001,0.8444,0.902,3.8246387832699638,-1.858433567315535,258,5,0
independent_reestimate,940009,300,cost,263,0.9075498098859315,0.9092,0.8932,0.9176,0.8838,0.922,0.9539163498098845,0.13273303705616668,49,214,0
independent_reestimate,940009,300,emission,263,0.8655186311787072,0.8646,0.8552,0.8774,0.8506,0.89,3.44813688212928,-0.021655242608474654,263,0,0
independent_reestimate,940009,300,makespan,263,0.9058509505703423,0.9068,0.8922,0.9178,0.8802,0.923,0.8153612167300367,0.17379152295586625,39,222,2
independent_reestimate,940010,30,cost,263,0.7957832699619771,0.7938,0.7555,0.84376,0.7254,0.874,10.421673003802285,-1.209085403675323,263,0,0
independent_reestimate,940010,30,emission,263,0.9029642585551331,0.9026,0.8928,0.9183399999999999,0.8868,0.926,0.5876806083650189,0.0022885437472480955,97,163,3
independent_reestimate,940010,30,makespan,263,0.8018273764258556,0.8174,0.7102,0.83652,0.6864,0.8542,9.817262357414451,-5.065540229184173,263,0,0
independent_reestimate,940010,100,cost,263,0.883368060836502,0.888,0.84168,0.9085,0.8324,0.9148,1.9185551330798494,-0.22485593788320157,202,60,1
independent_reestimate,940010,100,emission,263,0.899099619771863,0.8986,0.89002,0.90898,0.8834,0.9246,0.45961977186311875,-0.0005175187269070399,155,104,4
independent_reestimate,940010,100,makespan,263,0.9020760456273764,0.9044,0.8818,0.91418,0.8708,0.918,0.8372623574144487,0.0886997769432755,96,167,0
independent_reestimate,940010,300,cost,263,0.886787072243346,0.8856,0.86326,0.9095599999999999,0.8524,0.9132,1.5422813688212944,-0.18120423312332365,214,47,2
independent_reestimate,940010,300,emission,263,0.8782722433460075,0.8786,0.86822,0.88778,0.8618,0.8956,2.1727756653992416,-0.014130282133779684,263,0,0
independent_reestimate,940010,300,makespan,263,0.8982076045627376,0.9006,0.8776200000000001,0.913,0.8708,0.9172,0.8764258555133089,-0.12124743410400936,123,140,0
