solution_id,objective,stored,replayed,matches
formal-run-01-CCP30-solution-0037,makespan,537.1057664957777,537.1057664957777,True
formal-run-01-CCP30-solution-0038,cost,11879199.115211247,11879199.115211247,True
formal-run-01-CCP30-solution-0038,emission,9769225618.785173,9769225618.785173,True
formal-run-01-CCP30-solution-0038,makespan,554.1162728227106,554.1162728227106,True
formal-run-01-CCP30-solution-0040,cost,11975500.131545093,11975500.131545093,True
formal-run-01-CCP30-solution-0040,emission,10229148971.021584,10229148971.021584,True
formal-run-01-CCP30-solution-0040,makespan,528.5010677514558,528.5010677514558,True
formal-run-01-CCP30-solution-0041,cost,11890868.340460612,11890868.340460612,True
formal-run-01-CCP30-solution-0041,emission,9783119764.58743,9783119764.58743,True
formal-run-01-CCP30-solution-0041,makespan,551.9222048753603,551.9222048753603,True
formal-run-01-CCP30-solution-0042,cost,11837380.224893253,11837380.224893253,True
formal-run-01-CCP30-solution-0042,emission,9946401448.865522,9946401448.865522,True
formal-run-01-CCP30-solution-0042,makespan,551.9222048753603,551.9222048753603,True
formal-run-01-CCP30-solution-0044,cost,11918545.120309146,11918545.120309146,True
formal-run-01-CCP30-solution-0044,emission,9677684083.401138,9677684083.401138,True
formal-run-01-CCP30-solution-0044,makespan,538.3877641078334,538.3877641078334,True
formal-run-01-CCP30-solution-0045,cost,11881743.003711887,11881743.003711887,True
formal-run-01-CCP30-solution-0045,emission,9595027274.121492,9595027274.121492,True
formal-run-01-CCP30-solution-0045,makespan,570.7493163123478,570.7493163123478,True
formal-run-01-CCP30-solution-0046,cost,11903702.582592737,11903702.582592737,True
formal-run-01-CCP30-solution-0046,emission,9720843575.503162,9720843575.503162,True
formal-run-01-CCP30-solution-0046,makespan,538.3877641078334,538.3877641078334,True
formal-run-01-CCP30-solution-0047,cost,11863145.266888974,11863145.266888974,True
formal-run-01-CCP30-solution-0047,emission,9740018466.929354,9740018466.929354,True
formal-run-01-CCP30-solution-0047,makespan,555.2163586788495,555.2163586788495,True
formal-run-01-CCP30-solution-0048,cost,11910589.714395916,11910589.714395916,True
formal-run-01-CCP30-solution-0048,emission,10262679005.067389,10262679005.067389,True
formal-run-01-CCP30-solution-0048,makespan,532.3885269194767,532.3885269194767,True
formal-run-01-CCP30-solution-0049,cost,12075789.591831466,12075789.591831466,True
formal-run-01-CCP30-solution-0049,emission,9534916645.040936,9534916645.040936,True
formal-run-01-CCP30-solution-0049,makespan,550.9444389809082,550.9444389809082,True
formal-run-01-CCP30-solution-0051,cost,11887283.669071317,11887283.669071317,True
formal-run-01-CCP30-solution-0051,emission,9714360725.035551,9714360725.035551,True
formal-run-01-CCP30-solution-0051,makespan,555.8338670764541,555.8338670764541,True
formal-run-01-CCP30-solution-0052,cost,11800282.580985956,11800282.580985956,True
formal-run-01-CCP30-solution-0052,emission,9793696118.36142,9793696118.36142,True
formal-run-01-CCP30-solution-0052,makespan,574.7645130351591,574.7645130351591,True
formal-run-01-CCP30-solution-0053,cost,11902579.507840114,11902579.507840114,True
formal-run-01-CCP30-solution-0053,emission,9725763183.658895,9725763183.658895,True
formal-run-01-CCP30-solution-0053,makespan,533.1477939747391,533.1477939747391,True
formal-run-01-CCP30-solution-0055,cost,11824749.904289296,11824749.904289296,True
formal-run-01-CCP30-solution-0055,emission,9757679827.070578,9757679827.070578,True
formal-run-01-CCP30-solution-0055,makespan,574.7645130351591,574.7645130351591,True
formal-run-01-CCP30-solution-0056,cost,12287425.106240034,12287425.106240034,True
formal-run-01-CCP30-solution-0056,emission,9364423212.478233,9364423212.478233,True
formal-run-01-CCP30-solution-0056,makespan,553.1831612151473,553.1831612151473,True
formal-run-01-CCP30-solution-0057,cost,12200316.015866369,12200316.015866369,True
formal-run-01-CCP30-solution-0057,emission,9394521903.625534,9394521903.625534,True
formal-run-01-CCP30-solution-0057,makespan,550.9444389809082,550.9444389809082,True
formal-run-01-CCP30-solution-0058,cost,11864259.783042185,11864259.783042185,True
formal-run-01-CCP30-solution-0058,emission,9738026650.809706,9738026650.809706,True
formal-run-01-CCP30-solution-0058,makespan,555.2163586788495,555.2163586788495,True
formal-run-01-CCP30-solution-0059,cost,11833717.729139362,11833717.729139362,True
formal-run-01-CCP30-solution-0059,emission,9857656812.138264,9857656812.138264,True
formal-run-01-CCP30-solution-0059,makespan,570.7493163123478,570.7493163123478,True
formal-run-01-CCP30-solution-0060,cost,11979333.478543257,11979333.478543257,True
formal-run-01-CCP30-solution-0060,emission,10132749478.678709,10132749478.678709,True
formal-run-01-CCP30-solution-0060,makespan,529.1067539577374,529.1067539577374,True
formal-run-01-CCP30-solution-0061,cost,11843962.50669609,11843962.50669609,True
formal-run-01-CCP30-solution-0061,emission,9792534507.656515,9792534507.656515,True
formal-run-01-CCP30-solution-0061,makespan,573.945246781605,573.945246781605,True
formal-run-01-CCP30-solution-0062,cost,11986039.41830395,11986039.41830395,True
formal-run-01-CCP30-solution-0062,emission,9799338593.500162,9799338593.500162,True
formal-run-01-CCP30-solution-0062,makespan,529.6824374078126,529.6824374078126,True
formal-run-01-CCP30-solution-0063,cost,12210968.434907582,12210968.434907582,True
formal-run-01-CCP30-solution-0063,emission,9392840476.893906,9392840476.893906,True
formal-run-01-CCP30-solution-0063,makespan,550.9444389809082,550.9444389809082,True
formal-run-01-CCP30-solution-0064,cost,11973285.55888364,11973285.55888364,True
formal-run-01-CCP30-solution-0064,emission,10159250114.290075,10159250114.290075,True
formal-run-01-CCP30-solution-0064,makespan,529.1067539577374,529.1067539577374,True
