solution_id,S,objective,seeds,mean_coverage,sd_coverage,q90_mean,q90_sd
formal-run-01-CCP30-solution-0017,30,cost,10,0.88476,0.062064539884793414,12024234.649534434,123593.06428832238
formal-run-01-CCP30-solution-0017,30,emission,10,0.87012,0.04169862241263027,9739518193.382732,2393338.7980567324
formal-run-01-CCP30-solution-0017,30,makespan,10,0.8841800000000001,0.05241810119923588,562.9737349827244,13.935370525883615
formal-run-01-CCP30-solution-0017,100,cost,10,0.90062,0.02581807291199111,12031855.059916237,49344.64592833373
formal-run-01-CCP30-solution-0017,100,emission,10,0.8864599999999999,0.023308758487363117,9740394173.616001,1382506.0297849118
formal-run-01-CCP30-solution-0017,100,makespan,10,0.89582,0.017306248068897606,570.1136965092122,4.788852452701994
formal-run-01-CCP30-solution-0017,300,cost,10,0.8966,0.02033344262265709,12022806.789349357,38893.640631775466
formal-run-01-CCP30-solution-0017,300,emission,10,0.89316,0.019137815967345907,9740779057.928097,1188241.290786261
formal-run-01-CCP30-solution-0017,300,makespan,10,0.9069200000000001,0.010218153779752322,572.5918570966776,0.5527542684443177
formal-run-01-CCP30-solution-0019,30,cost,10,0.8829,0.06322104080130285,12343799.645112086,125647.16405400854
formal-run-01-CCP30-solution-0019,30,emission,10,0.8746,0.039210429451585684,9371392306.558613,2296076.4456727174
formal-run-01-CCP30-solution-0019,30,makespan,10,0.8774999999999998,0.06094873984660296,567.1132432166472,12.787445256282796
formal-run-01-CCP30-solution-0019,100,cost,10,0.8998000000000002,0.024810571223662804,12354136.917078286,52998.33971750973
formal-run-01-CCP30-solution-0019,100,emission,10,0.88684,0.01804655707391917,9372009758.601759,1236449.9260458413
formal-run-01-CCP30-solution-0019,100,makespan,10,0.89534,0.020929097235932344,570.380136247416,7.442208175911138
formal-run-01-CCP30-solution-0019,300,cost,10,0.8989800000000001,0.016463144022668047,12350892.389346417,34109.6605079636
formal-run-01-CCP30-solution-0019,300,emission,10,0.8929600000000001,0.012928452687343864,9372402965.786108,922870.2624546642
formal-run-01-CCP30-solution-0019,300,makespan,10,0.9043599999999999,0.011741966520893253,573.6340982317854,2.817204206465929
formal-run-01-CCP30-solution-0021,30,cost,10,0.8881600000000001,0.06583000329130582,12159926.7085516,117996.12551642943
formal-run-01-CCP30-solution-0021,30,emission,10,0.8662599999999999,0.04544007531292664,9389655849.805738,2469117.5216506007
formal-run-01-CCP30-solution-0021,30,makespan,10,0.88188,0.05940521488518964,569.2100287582646,11.81529694599994
formal-run-01-CCP30-solution-0021,100,cost,10,0.89868,0.03529333585190775,12164684.972773474,67880.21683134977
formal-run-01-CCP30-solution-0021,100,emission,10,0.8890399999999999,0.02987601044316325,9390871733.960535,1881760.840600986
formal-run-01-CCP30-solution-0021,100,makespan,10,0.8983000000000001,0.015141774444672377,572.8716605864431,1.3730747309281444
formal-run-01-CCP30-solution-0021,300,cost,10,0.8987400000000001,0.023862392540937267,12158245.730649827,47804.703943344604
formal-run-01-CCP30-solution-0021,300,emission,10,0.8957200000000001,0.01771683443006178,9391162736.153786,1128462.0643611455
formal-run-01-CCP30-solution-0021,300,makespan,10,0.90588,0.007933165264326178,573.4012623942659,0.7655275475425372
formal-run-01-CCP30-solution-0022,30,cost,10,0.88318,0.06524262069809549,12079591.850360977,129977.09703029746
formal-run-01-CCP30-solution-0022,30,emission,10,0.8709,0.0468917666310172,9828617654.08359,2603518.7811503876
formal-run-01-CCP30-solution-0022,30,makespan,10,0.87684,0.051812808369273995,554.327719732577,19.52512885438445
formal-run-01-CCP30-solution-0022,100,cost,10,0.8936200000000001,0.03210281399919122,12080036.813809674,60744.57674560163
formal-run-01-CCP30-solution-0022,100,emission,10,0.88764,0.026788189769208215,9829503880.14567,1717172.6255845896
formal-run-01-CCP30-solution-0022,100,makespan,10,0.89434,0.027174506026380264,559.1990969291537,13.76522668312081
formal-run-01-CCP30-solution-0022,300,cost,10,0.89566,0.022091335657019737,12081658.883632846,42542.82253501668
formal-run-01-CCP30-solution-0022,300,emission,10,0.8931600000000002,0.019131776940182255,9829791138.325436,1223641.9868361403
formal-run-01-CCP30-solution-0022,300,makespan,10,0.8987200000000002,0.013180187150922165,562.8049786237203,6.8996758277048365
formal-run-01-CCP30-solution-0024,30,cost,10,0.8783799999999999,0.06392742065116588,12343449.343059344,129892.88645985273
formal-run-01-CCP30-solution-0024,30,emission,10,0.8746,0.0302158163145654,9389960968.383686,1819152.8757537135
formal-run-01-CCP30-solution-0024,30,makespan,10,0.88318,0.04434275087943413,570.0190089158582,11.847093757594667
formal-run-01-CCP30-solution-0024,100,cost,10,0.89634,0.029042658280536256,12353875.257874591,55319.82916485796
formal-run-01-CCP30-solution-0024,100,emission,10,0.8869199999999999,0.019643308162210247,9390671429.33838,1317353.5858904584
formal-run-01-CCP30-solution-0024,100,makespan,10,0.8937999999999999,0.015595440929251667,573.2525659745335,3.6046725712540506
formal-run-01-CCP30-solution-0024,300,cost,10,0.9008800000000001,0.02059087176396375,12361718.14154063,41071.796726608416
formal-run-01-CCP30-solution-0024,300,emission,10,0.8930200000000001,0.01329476087286518,9391047715.909594,976105.4319957414
formal-run-01-CCP30-solution-0024,300,makespan,10,0.9058399999999999,0.011064578116172744,575.8997699969773,2.6255031612973396
formal-run-01-CCP30-solution-0025,30,cost,10,0.8745799999999999,0.06747249316079357,11917156.912819084,93038.22492685009
formal-run-01-CCP30-solution-0025,30,emission,10,0.8694600000000001,0.03581186023279625,9940190394.25454,1983064.8119342073
formal-run-01-CCP30-solution-0025,30,makespan,10,0.86724,0.03764510297207032,567.9754520781373,8.879326200537303
