solution_id,decision_fingerprint,role,seed,S,objective,q90_reestimate,q90_oos,signed_error,signed_error_pct,coverage,exceedance,coverage_gap_pp,absolute_coverage_gap_pp
formal-run-01-CCP30-solution-0235,63b783ecce4c18385619f9278ad004abfb50393c0357cb5861212696539dd8b4,independent_reestimate,940008,100,emission,10168986257.976068,10169747748.930588,-761490.9545192719,-0.007487805728508334,0.887,0.11299999999999999,-1.3000000000000012,1.3000000000000012
formal-run-01-CCP30-solution-0235,63b783ecce4c18385619f9278ad004abfb50393c0357cb5861212696539dd8b4,independent_reestimate,940008,100,makespan,556.1363010982742,561.4308751718597,-5.2945740735855225,-0.9430500365632366,0.8854,0.11460000000000004,-1.4600000000000057,1.4600000000000057
formal-run-01-CCP30-solution-0235,63b783ecce4c18385619f9278ad004abfb50393c0357cb5861212696539dd8b4,independent_reestimate,940008,300,cost,12095002.810391393,12072372.252226245,22630.5581651479,0.18745742503901533,0.9098,0.09019999999999995,0.9800000000000031,0.9800000000000031
formal-run-01-CCP30-solution-0235,63b783ecce4c18385619f9278ad004abfb50393c0357cb5861212696539dd8b4,independent_reestimate,940008,300,emission,10168470085.454666,10169747748.930588,-1277663.4759216309,-0.012563374308433413,0.8778,0.12219999999999998,-2.2199999999999998,2.2199999999999998
formal-run-01-CCP30-solution-0235,63b783ecce4c18385619f9278ad004abfb50393c0357cb5861212696539dd8b4,independent_reestimate,940008,300,makespan,556.1073525770086,561.4308751718597,-5.32352259485117,-0.9482062405672979,0.8848,0.11519999999999997,-1.5199999999999991,1.5199999999999991
formal-run-01-CCP30-solution-0236,445b1b0ca3dfac01f211ae1e212c51441f52537b6832a299a436796227076194,independent_reestimate,940008,30,cost,11910967.91579205,12011173.359115923,-100205.44332387298,-0.8342685625116026,0.8188,0.18120000000000003,-8.120000000000005,8.120000000000005
formal-run-01-CCP30-solution-0236,445b1b0ca3dfac01f211ae1e212c51441f52537b6832a299a436796227076194,independent_reestimate,940008,30,emission,9580970050.211884,9581089567.824505,-119517.61262130737,-0.001247432369515414,0.8984,0.10160000000000002,-0.16000000000000458,0.16000000000000458
formal-run-01-CCP30-solution-0236,445b1b0ca3dfac01f211ae1e212c51441f52537b6832a299a436796227076194,independent_reestimate,940008,30,makespan,575.9158357333995,573.7621223533155,2.153713380084014,0.3753669502006241,0.9208,0.07920000000000005,2.079999999999993,2.079999999999993
formal-run-01-CCP30-solution-0236,445b1b0ca3dfac01f211ae1e212c51441f52537b6832a299a436796227076194,independent_reestimate,940008,100,cost,11942314.85555231,12011173.359115923,-68858.5035636127,-0.5732870678396486,0.852,0.14800000000000002,-4.800000000000004,4.800000000000004
formal-run-01-CCP30-solution-0236,445b1b0ca3dfac01f211ae1e212c51441f52537b6832a299a436796227076194,independent_reestimate,940008,100,emission,9581388623.715866,9581089567.824505,299055.8913612366,0.003121314013862628,0.9038,0.09619999999999995,0.38000000000000256,0.38000000000000256
formal-run-01-CCP30-solution-0236,445b1b0ca3dfac01f211ae1e212c51441f52537b6832a299a436796227076194,independent_reestimate,940008,100,makespan,572.9010884768152,573.7621223533155,-0.8610338765003007,-0.15006809319665876,0.878,0.122,-2.200000000000002,2.200000000000002
formal-run-01-CCP30-solution-0236,445b1b0ca3dfac01f211ae1e212c51441f52537b6832a299a436796227076194,independent_reestimate,940008,300,cost,12025766.194342732,12011173.359115923,14592.835226809606,0.12149383570202425,0.908,0.09199999999999997,0.8000000000000007,0.8000000000000007
formal-run-01-CCP30-solution-0236,445b1b0ca3dfac01f211ae1e212c51441f52537b6832a299a436796227076194,independent_reestimate,940008,300,emission,9579498993.397013,9581089567.824505,-1590574.4274921417,-0.0166011852434159,0.874,0.126,-2.6000000000000023,2.6000000000000023
formal-run-01-CCP30-solution-0236,445b1b0ca3dfac01f211ae1e212c51441f52537b6832a299a436796227076194,independent_reestimate,940008,300,makespan,573.820443371928,573.7621223533155,0.05832101861255978,0.010164668656298373,0.9008,0.09919999999999995,0.08000000000000229,0.08000000000000229
formal-run-01-CCP30-solution-0237,15d8fa7b9f697445878daabc4af4a59fc9069411b0fd433915fe212a4d5dccc9,independent_reestimate,940008,30,cost,12096821.91079519,12168698.911099125,-71877.00030393526,-0.5906712034626473,0.8552,0.14480000000000004,-4.480000000000006,4.480000000000006
formal-run-01-CCP30-solution-0237,15d8fa7b9f697445878daabc4af4a59fc9069411b0fd433915fe212a4d5dccc9,independent_reestimate,940008,30,emission,9347647909.991383,9347841835.267008,-193925.27562522888,-0.002074545965183093,0.8958,0.10419999999999996,-0.41999999999999815,0.41999999999999815
formal-run-01-CCP30-solution-0237,15d8fa7b9f697445878daabc4af4a59fc9069411b0fd433915fe212a4d5dccc9,independent_reestimate,940008,30,makespan,572.3670596294592,573.2711549763403,-0.9040953468811495,-0.15770815242194816,0.897,0.10299999999999998,-0.30000000000000027,0.30000000000000027
formal-run-01-CCP30-solution-0237,15d8fa7b9f697445878daabc4af4a59fc9069411b0fd433915fe212a4d5dccc9,independent_reestimate,940008,100,cost,12160430.031500144,12168698.911099125,-8268.87959898077,-0.06795204367690195,0.896,0.10399999999999998,-0.40000000000000036,0.40000000000000036
formal-run-01-CCP30-solution-0237,15d8fa7b9f697445878daabc4af4a59fc9069411b0fd433915fe212a4d5dccc9,independent_reestimate,940008,100,emission,9347647909.991383,9347841835.267008,-193925.27562522888,-0.002074545965183093,0.8958,0.10419999999999996,-0.41999999999999815,0.41999999999999815
formal-run-01-CCP30-solution-0237,15d8fa7b9f697445878daabc4af4a59fc9069411b0fd433915fe212a4d5dccc9,independent_reestimate,940008,100,makespan,572.1190525901847,573.2711549763403,-1.1521023861556614,-0.20096988591780973,0.893,0.10699999999999998,-0.7000000000000006,0.7000000000000006
formal-run-01-CCP30-solution-0237,15d8fa7b9f697445878daabc4af4a59fc9069411b0fd433915fe212a4d5dccc9,independent_reestimate,940008,300,cost,12192865.738857018,12168698.911099125,24166.82775789313,0.19859828839918506,0.911,0.08899999999999997,1.100000000000001,1.100000000000001
formal-run-01-CCP30-solution-0237,15d8fa7b9f697445878daabc4af4a59fc9069411b0fd433915fe212a4d5dccc9,independent_reestimate,940008,300,emission,9346996500.958376,9347841835.267008,-845334.308631897,-0.009043095973689538,0.8872,0.11280000000000001,-1.2800000000000034,1.2800000000000034
formal-run-01-CCP30-solution-0237,15d8fa7b9f697445878daabc4af4a59fc9069411b0fd433915fe212a4d5dccc9,independent_reestimate,940008,300,makespan,571.9737373537632,573.2711549763403,-1.2974176225770861,-0.2263183157419864,0.89,0.10999999999999999,-1.0000000000000009,1.0000000000000009
formal-run-01-CCP30-solution-0238,c71d56ec33eced559c3beccbffe2a258b45a3dac0f27f5ae4c0863618bcf4492,independent_reestimate,940008,30,cost,12202375.053132283,12277567.137072625,-75192.08394034207,-0.6124347201759252,0.8494,0.15059999999999996,-5.059999999999998,5.059999999999998
