generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
50,0.0,0.0,1.9527541890082325,0.0,0.40057227897708747,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
51,0.0,0.0,1.9527541890082325,0.0,0.40057227897708747,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
52,0.0,0.0,1.9527541890082325,0.0,0.40057227897708747,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
53,0.0,0.0,1.9527541890082325,0.0,0.40057227897708747,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
54,0.0,0.0,1.9527541890082325,0.0,0.40057227897708747,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
55,0.0,0.0,1.896214865771866,0.0,0.8808370567263142,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
56,0.0,0.0,1.896214865771866,0.0,0.8808370567263142,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
57,0.0,0.0,1.896214865771866,0.0,0.8808370567263142,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
58,0.0,0.0,1.896214865771866,0.0,0.8808370567263142,0.0,1.0,0.0,1.0,0.0,11398413.76826432,13867318254.307928,460.77714285714285,11398413.76826432,0.0,13867318254.307928,0.0,460.77714285714285,0.0,0
59,0.0,0.0,1.896214865771866,0.0,0.8808370567263142,0.0,1.0,0.0,1.0,0.0,11360247.627411285,13823313671.815907,460.77714285714285,11360247.627411285,0.0,13823313671.815907,0.0,460.77714285714285,0.0,0
60,0.0,0.0,1.4012053346299609,0.0,0.8582430820702848,0.0,1.0,0.0,1.0,0.0,11360247.627411285,13823313671.815907,460.77714285714285,11360247.627411285,0.0,13823313671.815907,0.0,460.77714285714285,0.0,0
61,0.0,0.0,1.4012053346299609,0.0,0.8582430820702848,0.0,1.0,0.0,1.0,0.0,11360247.627411285,13823313671.815907,460.77714285714285,11360247.627411285,0.0,13823313671.815907,0.0,460.77714285714285,0.0,0
62,0.0,0.0,1.4012053346299609,0.0,0.8582430820702848,0.0,1.0,0.0,1.0,0.0,11360247.627411285,13823313671.815907,460.77714285714285,11360247.627411285,0.0,13823313671.815907,0.0,460.77714285714285,0.0,0
63,0.0,0.0,1.4012053346299609,0.0,0.8582430820702848,0.0,1.0,0.0,1.0,0.0,11360247.627411285,13823313671.815907,460.77714285714285,11360247.627411285,0.0,13823313671.815907,0.0,460.77714285714285,0.0,0
64,0.0,0.0,1.4012053346299609,0.0,0.8582430820702848,0.0,1.0,0.0,1.0,0.0,11360247.627411285,13823313671.815907,460.77714285714285,11360247.627411285,0.0,13823313671.815907,0.0,460.77714285714285,0.0,0
65,0.0,0.0,0.9702309359666437,0.0,0.3358387554760512,0.0,1.0,0.0,1.0,0.0,11360247.627411285,13823313671.815907,460.77714285714285,11360247.627411285,0.0,13823313671.815907,0.0,460.77714285714285,0.0,0
66,0.0,0.0,0.9702309359666437,0.0,0.3358387554760512,0.0,1.0,0.0,1.0,0.0,11360247.627411285,13823313671.815907,460.77714285714285,11360247.627411285,0.0,13823313671.815907,0.0,460.77714285714285,0.0,0
67,0.0,0.0,0.9702309359666437,0.0,0.3358387554760512,0.0,1.0,0.0,1.0,0.0,11340776.547509884,13668903895.00317,460.77714285714285,11340776.547509884,0.0,13668903895.00317,0.0,460.77714285714285,0.0,0
68,0.0,0.0,0.9702309359666437,0.0,0.3358387554760512,0.0,1.0,0.0,1.0,0.0,11340776.547509884,13668903895.00317,460.77714285714285,11340776.547509884,0.0,13668903895.00317,0.0,460.77714285714285,0.0,0
69,0.0,0.0,0.9702309359666437,0.0,0.3358387554760512,0.0,1.0,0.0,1.0,0.0,11340776.547509884,13668903895.00317,460.77714285714285,11340776.547509884,0.0,13668903895.00317,0.0,460.77714285714285,0.0,0
70,0.10284,0.0,0.27094725858251706,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11340776.547509884,13668903895.00317,460.77714285714285,11340776.547509884,0.0,13668903895.00317,0.0,460.77714285714285,0.0,0
71,0.10284,0.0,0.27094725858251706,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11340776.547509884,13668903895.00317,460.77714285714285,11340776.547509884,0.0,13668903895.00317,0.0,460.77714285714285,0.0,0
72,0.10284,0.0,0.27094725858251706,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11340776.547509884,13668903895.00317,460.77714285714285,11340776.547509884,0.0,13668903895.00317,0.0,460.77714285714285,0.0,0
73,0.10284,0.0,0.27094725858251706,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11340776.547509884,13668903895.00317,460.77714285714285,11340776.547509884,0.0,13668903895.00317,0.0,460.77714285714285,0.0,0
74,0.10284,0.0,0.27094725858251706,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11340506.67262901,13668903895.00317,460.77714285714285,11340506.67262901,0.0,13668903895.00317,0.0,460.77714285714285,0.0,0
75,0.15524,0.0,0.08702261865640698,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11336839.271690825,13614836906.299131,460.77714285714285,11336839.271690825,0.0,13614836906.299131,0.0,460.77714285714285,0.0,0
76,0.15524,0.0,0.08702261865640698,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11336839.271690825,13614836906.299131,460.77714285714285,11336839.271690825,0.0,13614836906.299131,0.0,460.77714285714285,0.0,0
77,0.15524,0.0,0.08702261865640698,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11336839.271690825,13614836906.299131,460.77714285714285,11336839.271690825,0.0,13614836906.299131,0.0,460.77714285714285,0.0,0
78,0.15524,0.0,0.08702261865640698,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11336839.271690825,13614836906.299131,460.77714285714285,11336839.271690825,0.0,13614836906.299131,0.0,460.77714285714285,0.0,0
79,0.15524,0.0,0.08702261865640698,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11328502.549907146,13614836906.299131,460.77714285714285,11328502.549907146,0.0,13614836906.299131,0.0,460.77714285714285,0.0,0
