candidate,candidate_name,candidate_label,level,seed,route_change_ratio,cost,emission_gCO2,time_h,penalty,feasible,total_teu,on_time_rate,infeasible_teu,late_teu_h,late_h_per_teu,p90_lateness_h,p95_lateness_h,max_border_util,border_cap_excess,arc_cap_excess,runtime_s,wall_s,pareto_size,final_feasible_ratio,final_feasible_ratio_strict,boost_gens_triggered,boost_new_feasible_total,scenario_params_json,cost_delta_rel,time_delta_rel,emission_delta_rel,on_time_drop,late_h_per_teu_delta,p95_lateness_delta_h
C1,line_haul_travel_time,Line-haul travel time uncertainty,high,7,0.9006139799143147,12375402.64479142,14981389401.480112,472.9400898809362,6019033787.983393,False,4455.0,0.978675645342312,0.0,6019.033787983392,1.351073802016474,0.0,0.0,0.9895596671906411,0.0,0.0,16.913532320875674,17.032029419206083,0,0.0,0.0,50,0,"{""candidate"": ""C1"", ""level"": ""high"", ""mean_multiplier"": 1.1502760728616235, ""time_spread"": 0.3}",0.05785824869891508,0.010919876257795473,0.011560318316564488,-0.0060606060606061,1.3490394906488288,0.0
C1,line_haul_travel_time,Line-haul travel time uncertainty,high,99,0.8501825641685108,11973869.633174343,15181697485.2629,461.5467459594193,1929365965.127552,False,4455.0,0.9784885895997008,0.0,1929.365965127552,0.4330787800510779,0.0,0.0,0.9807871794155028,0.0,0.0,12.514278274960816,12.632098484784365,0,0.0,0.0,50,0,"{""candidate"": ""C1"", ""level"": ""high"", ""mean_multiplier"": 1.1503681603492895, ""time_spread"": 0.3}",0.051785744638312925,-0.013433647737605347,0.10261942497851437,0.0019827908716797404,0.37778488875718713,0.0
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,low,2026,0.8214302903721299,11371992.577598996,13333514653.865162,469.25714285714287,1383354285.7142816,False,4455.0,0.9021324354657688,0.0,1383.3542857142816,0.31051723585056823,0.0,1.4871428571428282,0.9675485265079543,0.0,0.0,11.933545820880681,12.050657617859542,0,0.0,0.0,50,0,"{""candidate"": ""C2"", ""level"": ""low"", ""mean_multiplier"": 1.0801741326010885, ""time_spread"": 0.15}",-0.015649218071766682,0.0030474957402239653,-0.07059501574834012,0.09786756453423118,0.31051723585056823,1.4871428571428282
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,low,7,0.8794175929259141,11709023.538569747,14891150337.585571,465.19714285714286,0.0,True,4455.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.9852953508213219,0.0,0.0,12.816248605959117,12.933058900292963,2,1.0,1.0,25,9,"{""candidate"": ""C2"", ""level"": ""low"", ""mean_multiplier"": 1.0745792614267264, ""time_spread"": 0.15}",0.0008956871960049162,-0.00563084383263806,0.00546727489105069,-0.02738496071829455,-0.002034311367645297,0.0
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,low,99,0.892245781981827,12244677.214996094,15837507884.98305,479.42999999999995,1399297142.8571422,False,4455.0,0.9598204264870933,0.0,1399.2971428571423,0.31409587942921263,0.0,0.0,0.994778028507649,0.0,0.0,13.39511884469539,13.512841687072068,0,0.0,0.0,50,0,"{""candidate"": ""C2"", ""level"": ""low"", ""mean_multiplier"": 1.0709582935769721, ""time_spread"": 0.15}",0.07557350605764121,0.024792202319516746,0.1502497566022537,0.02065095398428718,0.25880198813532185,0.0
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,medium,2026,0.8018107977385376,11802476.015192287,14958434847.391619,471.67047619047617,1126157142.8571424,False,4455.0,0.9786756453423118,0.0,1126.1571428571424,0.25278499278499267,0.0,0.0,0.9280571433172751,0.0,0.0,14.371763993054628,14.488388103432953,0,0.0,0.0,50,0,"{""candidate"": ""C2"", ""level"": ""medium"", ""mean_multiplier"": 1.1794559250253032, ""time_spread"": 0.35}",0.021613091546410747,0.008206048983862728,0.04266911348384822,0.021324354657688227,0.25278499278499267,0.0
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,medium,7,0.8534446179028762,11513186.611782188,14365388433.538427,467.83142857142855,0.0,True,4455.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.9936736118422609,0.0,0.0,12.592991100158542,12.731641910038888,3,1.0,1.0,24,12,"{""candidate"": ""C2"", ""level"": ""medium"", ""mean_multiplier"": 1.1960816369910237, ""time_spread"": 0.35}",-0.015844593047665202,0.0,-0.03003276217254155,-0.027384960718294327,-0.002034311367645297,0.0
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,medium,99,0.8930718836841399,11877724.185710542,15370883347.645998,467.83142857142855,0.0,True,4455.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9303865870281864,0.0,0.0,13.09745343029499,13.214888310991228,1,1.0,1.0,45,7,"{""candidate"": ""C2"", ""level"": ""medium"", ""mean_multiplier"": 1.1854516199478613, ""time_spread"": 0.35}",0.043340320213937494,0.0,0.11635965442238307,-0.019528619528619506,-0.0552938912938908,0.0
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,high,2026,0.9147283010067806,12060328.082857823,15330468851.954662,481.9354761904762,243538236.5589242,False,4455.0,0.96593239551533,0.0,243.5382365589242,0.054666270832530686,0.0,0.0,0.9923610710948418,0.0,0.0,13.008555901236832,13.126492592971772,0,0.0,0.0,50,0,"{""candidate"": ""C2"", ""level"": ""high"", ""mean_multiplier"": 1.3050597199594407, ""time_spread"": 0.6}",0.04393256482221649,0.03014771295318022,0.06860153018927889,0.034067604484670055,0.054666270832530686,0.0
C2,border_processing_time,Border processing and break-of-gauge time uncertainty,high,7,0.8184795653623546,11409125.85727043,14023869862.05161,442.22738095238094,1731918095.2380934,False,4455.0,0.9815937149270487,0.0,1731.9180952380934,0.3887582705360479,0.0,0.0,0.99,0.0,0.0,13.738826806657016,13.856848799157888,0,0.0,0.0,50,0,"{""candidate"": ""C2"", ""level"": ""high"", ""mean_multiplier"": 1.3116169881629252, ""time_spread"": 0.6}",-0.024739780597173022,-0.05472921666941488,-0.05309248151006117,-0.008978675645342826,0.3867239591684026,0.0
