solution_id,decision_fingerprint,seed,S,objective,histogram_bins,histogram_smoothing,js_distance,js_divergence,wasserstein,wasserstein_normalized,wasserstein_scale,wasserstein_scale_basis,ks_statistic,kl_sample_to_oos,kl_oos_to_sample,symmetric_kl,sample_mean,oos_mean,mean_signed_error_pct,q90_reestimate,q90_oos,signed_error,signed_error_pct,coverage,exceedance,coverage_gap_pp,absolute_coverage_gap_pp
formal-run-01-CCP30-solution-0114,f8f63d4d45a5c15b5a5431b1b849dc514a6fa3fb70bd9d7786587642c1e69c26,940005,30,makespan,20,0.5,0.20414045801038475,0.04167332659668965,8.637058977600464,0.15183797479083866,56.88339158565748,oos_iqr,0.11606666666666665,0.25322044157963075,0.15082341279942216,0.20202192718952644,522.6509744638043,518.7427459792896,0.7534039781388698,578.8649727875212,575.4335837995658,3.4313889879554154,0.5963136467110741,0.9186,0.08140000000000003,1.859999999999995,1.859999999999995
formal-run-01-CCP30-solution-0114,f8f63d4d45a5c15b5a5431b1b849dc514a6fa3fb70bd9d7786587642c1e69c26,940005,100,cost,20,0.5,0.15286628660289783,0.0233681015797593,47270.0378685606,0.15318844836471845,308574.4282494318,oos_iqr,0.17360000000000003,0.10604301361006521,0.09143564857987811,0.09873933109497166,11985824.24844659,11945834.671727037,0.3347574934566786,12299562.552807366,12282930.60934926,16631.94345810637,0.13540696424228613,0.909,0.09099999999999997,0.9000000000000008,0.9000000000000008
formal-run-01-CCP30-solution-0114,f8f63d4d45a5c15b5a5431b1b849dc514a6fa3fb70bd9d7786587642c1e69c26,940005,100,emission,20,0.5,0.08840292667064763,0.007815077443935902,768187.4823673685,0.07571269263798962,10146085.88866806,oos_iqr,0.06379999999999997,0.03521842272032169,0.02922240331202993,0.032220413016175814,9384350434.22492,9384614411.779173,-0.002812875869692536,9397339125.3083,9396847498.89654,491626.4117603302,0.005231822819494105,0.9084,0.09160000000000001,0.8399999999999963,0.8399999999999963
formal-run-01-CCP30-solution-0114,f8f63d4d45a5c15b5a5431b1b849dc514a6fa3fb70bd9d7786587642c1e69c26,940005,100,makespan,20,0.5,0.1189216108923463,0.01414234953723062,5.736364829956576,0.10084428283989554,56.88339158565748,oos_iqr,0.096,0.07014735990402517,0.05541841954522573,0.06278288972462545,523.7292275974007,518.7427459792896,0.9612629105198588,578.1769760555746,575.4335837995658,2.7433922560088604,0.47675219751588827,0.9164,0.08360000000000001,1.639999999999997,1.639999999999997
formal-run-01-CCP30-solution-0114,f8f63d4d45a5c15b5a5431b1b849dc514a6fa3fb70bd9d7786587642c1e69c26,940005,300,cost,20,0.5,0.07996573390965844,0.006394518599710297,23805.10399157405,0.07714542039864539,308574.4282494318,oos_iqr,0.0716,0.0271132951835026,0.02497059755346466,0.02604194636848363,11962576.910646064,11945834.671727037,0.14015126928428087,12251558.488422768,12282930.60934926,-31372.120926491916,-0.25541234355433673,0.8844,0.11560000000000004,-1.5600000000000058,1.5600000000000058
formal-run-01-CCP30-solution-0114,f8f63d4d45a5c15b5a5431b1b849dc514a6fa3fb70bd9d7786587642c1e69c26,940005,300,emission,20,0.5,0.0904271487143202,0.00817706922460178,764581.4493365881,0.07535728139168744,10146085.88866806,oos_iqr,0.05900000000000001,0.035261405023787454,0.03198927581350406,0.03362534041864576,9384186968.866322,9384614411.779173,-0.0045547200353253225,9397354487.379862,9396847498.89654,506988.48332214355,0.0053953039397699985,0.9088,0.09119999999999995,0.880000000000003,0.880000000000003
formal-run-01-CCP30-solution-0114,f8f63d4d45a5c15b5a5431b1b849dc514a6fa3fb70bd9d7786587642c1e69c26,940005,300,makespan,20,0.5,0.07415744619780666,0.005499326826580589,4.3127420662076394,0.07581724552610977,56.88339158565748,oos_iqr,0.06213333333333332,0.023033502827326913,0.02306889292335272,0.023051197875339817,522.0550054108154,518.7427459792896,0.6385167710196897,578.8649727875212,575.4335837995658,3.4313889879554154,0.5963136467110741,0.9186,0.08140000000000003,1.859999999999995,1.859999999999995
formal-run-01-CCP30-solution-0116,9958174387c3b50bd74929b5f0a321d2ab0178e5aa381da279fcbc5981143ccb,940005,30,cost,20,0.5,0.18578015175032309,0.03451426478437307,35833.03849535914,0.10686491922103765,335311.5199688934,oos_iqr,0.12079999999999996,0.19784292730314085,0.12208483795798439,0.1599638826305626,11932601.798281448,11912952.085836947,0.1649441070770537,12336633.432655355,12261162.385032205,75471.04762315005,0.6155293050786214,0.9276,0.07240000000000002,2.759999999999996,2.759999999999996
formal-run-01-CCP30-solution-0116,9958174387c3b50bd74929b5f0a321d2ab0178e5aa381da279fcbc5981143ccb,940005,30,emission,20,0.5,0.2018016241642478,0.04072389551532832,2370918.1678847335,0.22876455008959487,10364010.36330223,oos_iqr,0.19940000000000002,0.20700077650834622,0.15603812657933064,0.18151945154383842,9274083405.906557,9276445270.8528,-0.025460883746756105,9284072741.174587,9288517772.371304,-4445031.196716309,-0.047855118606092935,0.8224,0.17759999999999998,-7.76,7.76
formal-run-01-CCP30-solution-0116,9958174387c3b50bd74929b5f0a321d2ab0178e5aa381da279fcbc5981143ccb,940005,30,makespan,20,0.5,0.18642946823646528,0.03475594662693122,3.8954953793406943,0.07115868154755202,54.74378241167267,oos_iqr,0.08766666666666667,0.24024517337187878,0.11701321017445768,0.17862919177316822,525.0236453751506,525.1242540228226,-0.019159017489901516,575.6709358047206,573.5401847221309,2.1307510825896543,0.3715085950990447,0.9212,0.07879999999999998,2.1199999999999997,2.1199999999999997
