seed,S,objective,solution_count,js_distance_mean,js_distance_median,js_distance_p25,js_distance_p75,js_distance_p90,js_distance_max,wasserstein_normalized_mean,wasserstein_normalized_median,wasserstein_normalized_p25,wasserstein_normalized_p75,wasserstein_normalized_p90,wasserstein_normalized_max,ks_statistic_mean,ks_statistic_median,ks_statistic_p25,ks_statistic_p75,ks_statistic_p90,ks_statistic_max,kl_sample_to_oos_mean,kl_sample_to_oos_median,kl_sample_to_oos_p25,kl_sample_to_oos_p75,kl_sample_to_oos_p90,kl_sample_to_oos_max,kl_oos_to_sample_mean,kl_oos_to_sample_median,kl_oos_to_sample_p25,kl_oos_to_sample_p75,kl_oos_to_sample_p90,kl_oos_to_sample_max,symmetric_kl_mean,symmetric_kl_median,symmetric_kl_p25,symmetric_kl_p75,symmetric_kl_p90,symmetric_kl_max,absolute_coverage_gap_pp_mean,absolute_coverage_gap_pp_median,absolute_coverage_gap_pp_p25,absolute_coverage_gap_pp_p75,absolute_coverage_gap_pp_p90,absolute_coverage_gap_pp_max,coverage_mean,coverage_median,coverage_p25,coverage_p75,coverage_p90,coverage_max
940002,30,emission,263,0.23381403341361157,0.23179717050581194,0.22342894497929547,0.2431061065709303,0.2529375021476474,0.2774115368867779,0.17198842963552594,0.17557060165012495,0.15918307908265605,0.1838333460467001,0.1901907088620179,0.20581336879210094,0.1371062103929024,0.1358666666666667,0.12206666666666667,0.15119999999999997,0.16362666666666664,0.18566666666666667,0.31009801657883734,0.30766852988006804,0.2890343499977015,0.3307327671944156,0.3482735792083279,0.39930639479553676,0.20534426583304993,0.19686606725596825,0.17977117381820826,0.224014362525349,0.2528871987818953,0.3431022005778532,0.2577211412059437,0.2506423702944508,0.2354398443625457,0.27509626187190145,0.3029172072694512,0.3613025735544396,3.126539923954375,2.860000000000007,1.930000000000004,3.959999999999997,5.924000000000001,8.100000000000007,0.868748288973384,0.8714,0.8604,0.8807,0.8894,0.9018
940002,30,makespan,263,0.2084464607451098,0.20950503494084377,0.19553852902228597,0.2220278354840186,0.2307303816863653,0.27392213824310574,0.1148401821150315,0.11039721303265013,0.09080770994066668,0.1392948654097006,0.15369636318293758,0.18709779652354414,0.11526438529784538,0.10526666666666668,0.09593333333333334,0.14270000000000002,0.14760000000000006,0.19973333333333332,0.25774529762622667,0.26196101658975113,0.23409651299771123,0.2924719062426947,0.3038367815374621,0.3655155901101718,0.16195730624930604,0.15881746239573538,0.1338550741306038,0.19049369083749343,0.20639045832732092,0.32599594969568985,0.20985130193776638,0.21716346719476576,0.18378075864209226,0.2338509891135269,0.2520663525613377,0.343657981918923,3.29939163498099,3.839999999999999,1.739999999999997,4.34,5.252,7.6200000000000045,0.8736798479087452,0.8616,0.8566,0.9022,0.91688,0.923
940002,100,cost,263,0.1489297571676487,0.14864016113208456,0.13834111952264472,0.1559079862966352,0.1659928372934764,0.19040939827402933,0.16533014072487276,0.16569343869280742,0.15976538484092606,0.1705726371254136,0.17656077974919268,0.1864451791079233,0.12693536121673005,0.12319999999999998,0.11519999999999997,0.13649999999999995,0.14844000000000002,0.1652,0.11161637931378456,0.11006567295422084,0.09926438689941641,0.12305756162008498,0.1339192806141671,0.15986929832375943,0.08504952246789044,0.08276572572148673,0.07055790588897765,0.09299493634166145,0.10980653515246121,0.15936425099069096,0.09833295089083749,0.09657070820723464,0.08481694930874606,0.1066983977426958,0.1220750657043918,0.15960880474695754,2.0837262357414432,2.200000000000002,1.319999999999999,2.9100000000000015,3.300000000000003,3.959999999999997,0.9202091254752852,0.922,0.913,0.9291,0.933,0.9396
940002,100,emission,263,0.14641304170750943,0.14489188998928168,0.134748185026353,0.15515309199092586,0.17054560596961135,0.20969539587709593,0.09493209542448727,0.09400602334048147,0.0860904397957194,0.10391624400042235,0.11183461134183997,0.12215418012327547,0.08164410646387832,0.07999999999999996,0.07329999999999999,0.08760000000000001,0.09935999999999999,0.12179999999999996,0.10085559804615454,0.09787399367513364,0.08523254578975077,0.11128123543536299,0.13050280422900223,0.18852737652631502,0.08712564741753187,0.08237440915344604,0.06845110659784229,0.0995412105772506,0.12632702366082157,0.1951764712326761,0.0939906227318432,0.08997864184631021,0.07748026794651097,0.1049086698077974,0.12574761219960442,0.19185192387949557,1.338935361216732,1.3000000000000012,0.8600000000000052,1.7800000000000038,2.256000000000005,3.280000000000005,0.8866958174904943,0.887,0.8822,0.8914,0.8954,0.9042
940002,100,makespan,263,0.15110178832614019,0.15146450273036882,0.1397835692639468,0.16176111765610995,0.1678395141333877,0.1795502793023094,0.11888622214095507,0.11786797620230705,0.10495760027443962,0.13319151420597108,0.14220718054295112,0.18831717254570005,0.09976349809885932,0.098,0.08600000000000001,0.11579999999999999,0.124,0.1448,0.11182522962973158,0.11184635539138678,0.09796452040774231,0.12594620610433674,0.1335491745279369,0.14534617357040475,0.09014686438855168,0.08824384526924924,0.0724159124914994,0.10560081424786424,0.11678969967332568,0.14072798758868857,0.10098604700914164,0.10409194857179122,0.08567913288790928,0.11492529367346366,0.12336325472577084,0.14227167505247373,2.10532319391635,1.760000000000006,1.3900000000000023,2.579999999999999,3.8999999999999924,5.2800000000000065,0.8959110266159696,0.8868,0.8824,0.9188,0.9324,0.9462
940002,300,cost,263,0.08444092459371759,0.08349005960820964,0.07870839531597987,0.0891844527326584,0.09521605502410486,0.11299744826681427,0.06765977100423771,0.0683873492550763,0.06383778053643865,0.07100250798792665,0.0737084562308977,0.08049514256642198,0.06891787072243345,0.06886666666666669,0.06463333333333338,0.07336666666666666,0.07666666666666665,0.08400000000000002,0.031043524736440897,0.030406139948819796,0.026652760275246563,0.03447129157552713,0.0391169964149149,0.051997967083380704,0.028761253955086743,0.027472075411283853,0.02401712731500718,0.03243909315371306,0.035909127838734595,0.055726677479995414,0.02990238934576382,0.02887847126609039,0.025496256910391465,0.03317123615984555,0.03772559543399818,0.05386232228168806,1.3322433460076066,1.3600000000000056,0.6700000000000039,1.880000000000004,2.3399999999999976,2.9200000000000004,0.8867581749049429,0.8864,0.8812,0.8933,0.89596,0.9042
940002,300,emission,263,0.09665361258035803,0.09641293774819468,0.09110694741905369,0.10214038854439622,0.10680226106911808,0.12256986673858415,0.06009781311544521,0.06069504379172972,0.05702265084501153,0.06352542645861378,0.06596393405227644,0.07115759456395804,0.0450915082382763,0.04493333333333335,0.04176666666666667,0.04813333333333332,0.05046666666666666,0.06193333333333334,0.040005872001889424,0.040063605495654825,0.03547215664897843,0.044458504123513154,0.048122111269204404,0.0626928269139917,0.03740329096144546,0.036879149448199575,0.03229721842859251,0.04142929457883347,0.0460208027711645,0.06156264695627941,0.038704581481667444,0.038422978816542525,0.03407629263904698,0.042996796062475154,0.04699995471548578,0.062127736935135555,1.3317870722433482,1.3399999999999967,0.9600000000000053,1.7000000000000015,2.0160000000000005,2.5600000000000067,0.8866821292775666,0.8866,0.883,0.8904,0.8938,0.8994
940002,300,makespan,263,0.10382206346675042,0.10521767534403656,0.10000140264629101,0.11100060586976544,0.11473871859185131,0.12341190026567511,0.0935867443076109,0.09656517101866176,0.08622583413628672,0.10257155342715801,0.10754066919639856,0.12293559283644018,0.06807122940430925,0.069,0.06559999999999999,0.07483333333333336,0.07830666666666661,0.09426666666666667,0.04978102693812168,0.04981805881594058,0.04542018433313178,0.05592918201769891,0.06091201565800553,0.0677265981711675,0.04155204219665647,0.04166890404811307,0.037479140628602026,0.048499595032610227,0.05044551741997424,0.06233932592802064,0.045666534567389075,0.046257044487819976,0.04189038566374534,0.051479564287523524,0.056330106708468025,0.06332694549863638,1.3893536121672994,1.1800000000000033,0.9000000000000008,1.9000000000000017,2.4679999999999955,4.34,0.9094174904942967,0.911,0.904,0.919,0.92468,0.9434
940003,30,cost,263,0.25292866090650984,0.2523190753933283,0.243662981281436,0.262326131037573,0.2723976130540474,0.3126333468150741,0.20551914752540837,0.20584648143549075,0.19428844298237008,0.2189462466499236,0.22905353134818737,0.2616771751630642,0.14944588086185043,0.14979999999999993,0.1403333333333333,0.15626666666666666,0.16449333333333332,0.20133333333333336,0.3550308082980908,0.35470878820603147,0.3249876199714709,0.38313699929659756,0.40364242546654344,0.5004331399213476,0.23933805042683118,0.23458897321504912,0.21630119462275582,0.26051639025813933,0.2901093830001575,0.482739642020348,0.297184429362461,0.2941406072461249,0.27346941852462847,0.3205999312055935,0.3424561751766156,0.4673046478562918,4.958250950570339,5.140000000000001,4.089999999999994,6.059999999999999,6.319999999999992,6.619999999999992,0.9495825095057033,0.9514,0.9409,0.9606,0.9632,0.9662
940003,30,emission,263,0.22233004632994094,0.222945578811097,0.2063990743828164,0.23508052600915122,0.24649913452654398,0.2700196328686081,0.1785453310292938,0.1803446026150933,0.17047515700203653,0.1893801866645204,0.19583728086318514,0.20722792297302514,0.14221875792141953,0.13979999999999992,0.13070000000000004,0.1511333333333334,0.16364,0.20146666666666668,0.27573731018225534,0.2739775802169752,0.2473373718552475,0.2997713897388381,0.3210250005244364,0.3730247366612717,0.18937983636736658,0.18385605779241196,0.15407568417409184,0.2149320814391495,0.24221138178481136,0.3897872583074432,0.23255857327481097,0.23255629849817827,0.19971233527743149,0.25726063250072645,0.2776350504512754,0.36837379324503505,1.7393916349809875,1.639999999999997,0.8700000000000041,2.539999999999998,3.059999999999996,4.899999999999993,0.9149087452471483,0.916,0.905,0.9253,0.9306,0.949
940003,30,makespan,263,0.2419650869474937,0.24093432435485373,0.22616998450333584,0.2576357633651895,0.2650424065069223,0.3078153022097175,0.14882232059562356,0.14937974709072518,0.126918512368236,0.16684572867290898,0.18934223734591077,0.20924474324413495,0.12788491761723703,0.12326666666666675,0.11246666666666671,0.14093333333333335,0.1612933333333334,0.2006,0.3339728501854354,0.32844306290492975,0.30541464318121886,0.3649403397001263,0.40396922678678904,0.4565964756964871,0.22504871293622955,0.2197068700001145,0.18547069098981356,0.2558908845289282,0.2869441321587924,0.42504914189520054,0.2795107815608324,0.27488513913731993,0.2451425197014496,0.31190774640685726,0.338987738762718,0.4408228087958438,1.2683650190114075,1.2600000000000056,0.31999999999999806,1.9799999999999984,2.839999999999998,4.320000000000002,0.9007216730038023,0.8996,0.89,0.9131,0.92372,0.9432
940003,100,cost,263,0.1321912103823918,0.12945697279334115,0.1231682836107342,0.14119591633726936,0.1533321645710027,0.18316110937283403,0.06598905687641245,0.0663092165329988,0.058397733880932154,0.07436023980159083,0.07939982775934973,0.09060484378372732,0.05884942965779468,0.05680000000000007,0.05259999999999998,0.06269999999999998,0.07,0.09660000000000002,0.0853479509008838,0.08355811791241438,0.07310116305576045,0.09517045259270404,0.10943158129091181,0.17199976238974443,0.06672547949803578,0.06270947868786199,0.055538433101295595,0.07637924287424447,0.09321199848314186,0.1270414434153369,0.07603671519945979,0.07324288580826174,0.06470380038715415,0.08530473258861049,0.10154262154056566,0.14952060290254066,2.8492015209125454,3.0200000000000005,2.279999999999993,3.4599999999999964,3.8599999999999968,4.699999999999993,0.9284920152091255,0.9302,0.9228,0.9346,0.9386,0.947
940003,100,emission,263,0.1382929080536652,0.13760815183400485,0.131147456003929,0.1446400289039513,0.15280081066338722,0.18733443341270192,0.119288959091297,0.11814410871400684,0.10930690417601185,0.12825395673870804,0.13955616122621017,0.160802710139142,0.09932547528517109,0.09960000000000002,0.08879999999999999,0.1084,0.11516000000000003,0.14140000000000003,0.08899960071198035,0.08774624138974373,0.07895851231517287,0.09587653954039706,0.10865891064394144,0.14670629374055688,0.07540232061554719,0.07338817025053623,0.06587541505582409,0.08330482364827918,0.09317901048697219,0.1589721353818601,0.08220096066376376,0.08036443141866438,0.07300220155411982,0.08932556887381207,0.10020882098207282,0.1528392145612085,3.193992395437264,3.2200000000000006,2.660000000000007,3.6600000000000077,4.100000000000003,4.800000000000004,0.8680600760456274,0.8678,0.8634,0.8734,0.8774,0.8872
940003,100,makespan,263,0.13617872568345582,0.1349024770029759,0.12332075268980527,0.14595177405400228,0.16296027046808717,0.16971074095405622,0.07127303206770899,0.07060669475027696,0.06345789212442182,0.07818885174669955,0.08909697818147834,0.10656858402897268,0.067706463878327,0.06819999999999998,0.06170000000000001,0.07429999999999998,0.08072000000000001,0.0882,0.09728981253013914,0.09523351636848491,0.08473980138337853,0.10799603905936064,0.12592339792076476,0.1381041328235261,0.07355115185028009,0.06939714562157576,0.055788412572134224,0.08337763953572634,0.11317865543571388,0.13981284733212648,0.08542048219020962,0.08272692273046758,0.06899617888605752,0.09455363156177608,0.11973289687606503,0.13396579348366394,0.9019771863117871,0.7800000000000029,0.26000000000000467,1.469999999999999,2.043999999999998,4.6599999999999975,0.9002365019011407,0.9,0.8941,0.9082,0.9156,0.9278
940003,300,cost,263,0.09386761234442748,0.0931670505829392,0.0875679529092818,0.09965034337326416,0.10643077618576113,0.12351249146268287,0.07429528154946817,0.07373269590979938,0.06891839986278958,0.08048412054796147,0.0832320136727845,0.0890275162555921,0.049936375158428394,0.04946666666666666,0.04673333333333335,0.05263333333333331,0.057253333333333344,0.0662666666666667,0.04412821220617601,0.04317485005295425,0.03705451295631541,0.049130132626923076,0.0564297895295906,0.08185981324027349,0.03315459530155586,0.032265559754425015,0.02774292856196133,0.03709345982758969,0.04229016843547091,0.05821012704810623,0.038641403753865926,0.03755243898416349,0.03295977702962079,0.043187182349925975,0.04971557103040519,0.07003497014418986,3.133307984790873,3.2200000000000006,2.7799999999999936,3.4599999999999964,3.732,4.420000000000002,0.9313330798479087,0.9322,0.9278,0.9346,0.93732,0.9442
940003,300,emission,263,0.08273379981889514,0.08237710481769937,0.07626377754553813,0.08888740829396158,0.09530006745937741,0.10807008229057816,0.06067876534085822,0.061255046050735604,0.057330799178647,0.06385901892948745,0.06673965253662735,0.07172400156489303,0.050502154626109,0.05066666666666664,0.04693333333333333,0.054266666666666685,0.05731999999999993,0.06559999999999999,0.03064350230021105,0.030331844743657542,0.025859205281238314,0.035005490873570855,0.040192155411110646,0.05032120651953869,0.02719308534090217,0.026570938963243713,0.022689117620138165,0.03131577971544747,0.036240617598108774,0.04741935252658588,0.028918293820556606,0.028396240946920507,0.02411542226590535,0.03309650786142694,0.038205119156975414,0.048870279523062284,1.394144486692013,1.4000000000000012,1.100000000000001,1.639999999999997,1.9399999999999973,2.639999999999998,0.9139414448669201,0.914,0.911,0.9164,0.9194,0.9264
940003,300,makespan,263,0.09242349450212596,0.09261594185669611,0.08554314941047346,0.10169567954230771,0.10465324380887568,0.10945106239489309,0.0523315499783502,0.05383030670297354,0.04696827376904576,0.058429979217173175,0.061232541135179765,0.06821976706168864,0.034075285171102664,0.03366666666666662,0.028133333333333344,0.03843333333333329,0.04600000000000004,0.056333333333333346,0.04694579009042519,0.04791034226441862,0.03999923477558724,0.05615667544259288,0.05881830513701592,0.07046622140344372,0.03132080751300665,0.03010561355831612,0.02569431377706366,0.03787925686584895,0.04078782245363419,0.04841347032945453,0.03913329880171591,0.039414882359954884,0.03289998217324917,0.04695278882401556,0.04933746507336418,0.05550910077026404,0.9447148288973375,0.9199999999999986,0.5000000000000004,1.319999999999999,1.8359999999999979,2.32,0.908815969581749,0.9092,0.9046000000000001,0.9132,0.91836,0.9232
940004,30,cost,263,0.2398380945719807,0.23675839328640175,0.22699655644536512,0.24963507566616933,0.26866865963788533,0.32758768484693035,0.14491431444250738,0.14299231915164784,0.1323161561920374,0.1573219523071831,0.16758802014428603,0.18674697640813165,0.10636704689480354,0.10473333333333334,0.09253333333333329,0.11783333333333335,0.1287466666666667,0.15859999999999996,0.33014118362211753,0.3246359847568454,0.30711505263662875,0.34905639591104576,0.3782706218646889,0.4990128748318572,0.22242546486508086,0.21083805724578122,0.1825300409657093,0.24609650231799207,0.29919765195628895,0.5513579203377212,0.2762833242435992,0.26789622743584285,0.24946312972971318,0.29432057149169943,0.3374421919310925,0.5251853975847892,1.8904942965779474,1.5199999999999991,0.6399999999999961,2.9200000000000004,4.280000000000006,5.640000000000001,0.8941566539923955,0.8988,0.8791,0.9124,0.92132,0.935
