seed,S,variable,mode,empirical_mean,empirical_std,empirical_cv,configured_cv,n
45,50,travel_multiplier,rail,1.0008840941161343,0.1008201886802499,0.1007311328783606,0.1,6400
45,50,travel_multiplier,water,1.0027067566262005,0.19846284700855243,0.19792710650152476,0.2,2000
45,50,border_delay_multiplier_normalized,road,1.0020799430242833,0.45482093851796573,0.45387690042504336,0.45,12400
45,50,border_delay_multiplier_normalized,rail,0.9925655661125367,0.596797547745126,0.6012676322054288,0.6,500
45,100,travel_multiplier,road,0.9998271982222668,0.1494991451444713,0.1495249833274058,0.15,81000
45,100,travel_multiplier,rail,0.999794696139272,0.10037160602182496,0.10039221693154805,0.1,12800
45,100,travel_multiplier,water,1.0020874913043947,0.19799264044482148,0.19758019350895092,0.2,4000
45,100,border_delay_multiplier_normalized,road,1.003310774318302,0.45070594029454136,0.44921867863003145,0.45,24800
45,100,border_delay_multiplier_normalized,rail,0.9774188905758675,0.5607487327063485,0.5737035963935291,0.6,1000
45,200,travel_multiplier,road,0.999740656356898,0.14999802980886578,0.15003694093572795,0.15,162000
45,200,travel_multiplier,rail,1.000280627689678,0.0999268536366248,0.09989881926177381,0.1,25600
45,200,travel_multiplier,water,1.0042029525653493,0.20089891699337928,0.2000580823628933,0.2,8000
45,200,border_delay_multiplier_normalized,road,1.0020347609003855,0.44841616040545135,0.4475055935210509,0.45,49600
45,200,border_delay_multiplier_normalized,rail,0.9818157721576832,0.5740405858709133,0.5846724020427737,0.6,2000
46,50,travel_multiplier,road,0.9996997211199683,0.15067629735695937,0.1507215558569487,0.15,40500
46,50,travel_multiplier,rail,1.0008450494837626,0.09966156990453331,0.09957742205543096,0.1,6400
46,50,travel_multiplier,water,0.9983941446967306,0.20270349962891573,0.20302953568551665,0.2,2000
46,50,border_delay_multiplier_normalized,road,0.9982500382744559,0.44892225403341823,0.4497092279699897,0.45,12400
46,50,border_delay_multiplier_normalized,rail,0.98984267737924,0.5851571232436924,0.5911617437964843,0.6,500
46,100,travel_multiplier,road,0.9996803220528783,0.15007090893633523,0.1501188986376759,0.15,81000
46,100,travel_multiplier,rail,1.0003213584769037,0.09955484683931426,0.09952286432321825,0.1,12800
46,100,travel_multiplier,water,0.9966606408294008,0.19998363571405134,0.2006536904553881,0.2,4000
46,100,border_delay_multiplier_normalized,road,1.0006128895158775,0.4479040615575425,0.4476297139988374,0.45,24800
46,100,border_delay_multiplier_normalized,rail,0.9927967371629306,0.5843174419384973,0.5885569725060482,0.6,1000
46,200,travel_multiplier,road,0.9995932278228046,0.14987464785479956,0.14993563750050481,0.15,162000
46,200,travel_multiplier,rail,0.9996908512265443,0.09975010771141225,0.09978095487122493,0.1,25600
46,200,travel_multiplier,water,1.0003848153433128,0.20157842970627618,0.20150088907246994,0.2,8000
46,200,border_delay_multiplier_normalized,road,1.0027519788827264,0.4487703925000551,0.4475387752413896,0.45,49600
46,200,border_delay_multiplier_normalized,rail,0.9983691586995812,0.5844012906344276,0.5853559132331726,0.6,2000
