scope,run_id,method,comparison,candidate_count,cost_signed_pct_delta_mean,cost_signed_pct_delta_median,cost_signed_pct_delta_sd,cost_absolute_percentage_error_mean,cost_absolute_percentage_error_median,cost_absolute_percentage_error_sd,makespan_signed_pct_delta_mean,makespan_signed_pct_delta_median,makespan_signed_pct_delta_sd,makespan_absolute_percentage_error_mean,makespan_absolute_percentage_error_median,makespan_absolute_percentage_error_sd,emission_signed_pct_delta_mean,emission_signed_pct_delta_median,emission_signed_pct_delta_sd,emission_absolute_percentage_error_mean,emission_absolute_percentage_error_median,emission_absolute_percentage_error_sd
run,8,CCP30,training q90 vs OOS q90,277,1.8269787123393606,1.8988775472282626,0.38537472626534874,1.8269787123393606,1.8988775472282626,0.38537472626534874,5.606413870181039,6.043519014039,1.9215092598017711,5.606413870181039,6.043519014039,1.9215092598017711,0.0,0.0,0.0,0.0,0.0,0.0
run,9,EV,training direct-expected-input vs OOS mean,265,1.1063043073698684,0.9929885537264345,0.2095912758465286,1.1063043073698684,0.9929885537264345,0.2095912758465286,14.161815357331124,14.219064045324805,1.1785489386486723,14.161815357331124,14.219064045324805,1.1785489386486723,-6.985210112268816e-16,0.0,1.4692888009889503e-14,9.774644568526519e-15,0.0,1.0975661874972176e-14
run,9,CCP30,training q90 vs OOS q90,199,0.9333800226084161,0.9397242769257457,0.263913600900494,0.9333800226084161,0.9397242769257457,0.263913600900494,7.705121072666804,8.59865908029471,3.253874493402572,7.784011188406782,8.59865908029471,3.0593444347982492,0.0,0.0,0.0,0.0,0.0,0.0
run,10,EV,training direct-expected-input vs OOS mean,257,1.351843109378898,1.360221211190264,0.06964981963295597,1.351843109378898,1.360221211190264,0.06964981963295597,13.803594229555996,13.970526369076445,1.3470375340568983,13.817885557688419,13.970526369076445,1.1908906348113266,4.629896149705929e-16,0.0,1.7863501145279578e-14,1.2613846843392576e-14,1.956908696928819e-14,1.2632862607348387e-14
run,10,CCP30,training q90 vs OOS q90,257,0.14073114904404221,0.21332536398039198,0.37038215107869316,0.3339003642211264,0.30899451775443604,0.21246317216810373,6.501675569741967,7.0819109999612015,2.8387395889045672,6.501675569741967,7.0819109999612015,2.8387395889045672,0.0,0.0,0.0,0.0,0.0,0.0
run,11,EV,training direct-expected-input vs OOS mean,236,1.1728917799716065,1.1638037038467068,0.17268405778201507,1.1728917799716065,1.1638037038467068,0.17268405778201507,15.706796535310996,16.215324475164888,1.6518241130248663,15.706796535310996,16.215324475164888,1.6518241130248663,-4.400870520696328e-16,0.0,1.3665365835716733e-14,8.760229418418646e-15,0.0,1.048181972021199e-14
run,11,CCP30,training q90 vs OOS q90,269,1.0784825697148068,1.0247439075110119,0.3095043103156881,1.0784825697148068,1.0247439075110119,0.3095043103156881,6.899567495149201,7.015467507477497,2.322739465440879,6.90353659830655,7.015467507477497,2.3108717521995255,0.0,0.0,0.0,0.0,0.0,0.0
run,12,EV,training direct-expected-input vs OOS mean,232,1.4260814202219867,1.4188149326245445,0.09570769475189972,1.4260814202219867,1.4188149326245445,0.09570769475189972,13.94090309937957,14.274242723307319,2.5268678386869037,13.94090309937957,14.274242723307319,2.5268678386869037,-2.724570729845835e-15,0.0,1.566743638711157e-14,1.0258371562236173e-14,0.0,1.213401160710821e-14
run,12,CCP30,training q90 vs OOS q90,227,0.8155136370144235,0.7983758777979081,0.3180667473082766,0.8172939690070493,0.7983758777979081,0.31344322222657695,8.24267745545057,8.343315154555745,2.4920973712452326,8.36426380321036,8.343315154555745,2.0451008678493796,0.0,0.0,0.0,0.0,0.0,0.0
run,13,EV,training direct-expected-input vs OOS mean,282,1.037846579240648,1.018697072141467,0.2308296808999028,1.037846579240648,1.018697072141467,0.2308296808999028,14.267119675196264,14.798565241374728,1.8935267398287041,14.267119675196264,14.798565241374728,1.8935267398287041,-1.4590768687111048e-15,0.0,1.408010006510613e-14,1.0193321198907638e-14,1.62818118056001e-14,9.803679812255317e-15
