method,run_id,source_solution_id,decision_fingerprint,oos_mean_cost,oos_mean_emission,oos_mean_makespan,oos_q90_cost,oos_q90_emission,oos_q90_makespan,global_oos_mean_nondominated,global_oos_q90_nondominated
CCP30,21,formal-run-21-CCP30-solution-0148,9de2c49e3838e5fde420225e708e347a5f550cb6be94ac0888674254dbd51fde,11835606.989225786,9869447200.988525,524.2483922919901,12097202.34764202,9869447200.988522,576.1757936358547,false,false
CCP30,21,formal-run-21-CCP30-solution-0149,f284619dcbb2cb41c6c803781ebeaba2bb24bbc24de0f9fa7b69ec471cfa26f4,12161572.15186305,9970415777.56667,525.4492035628734,12530877.603237744,9970415777.566671,608.2256206833019,false,false
CCP30,21,formal-run-21-CCP30-solution-0150,d6c96c44095a8bcc54d98a0329da07ea98307493290ad13d5af42c589df2cc43,11892541.565229954,10037542273.070005,520.0351521377312,12189170.237511609,10037542273.070004,573.2919673403927,false,false
CCP30,21,formal-run-21-CCP30-solution-0151,636efd6446bef2b1b4bf4ce3e770fe4c914ab1b44190c0182c88cfff88957100,12079381.07477973,9975366343.496672,517.4479889674809,12416923.966722386,9975366343.496672,573.1521209019072,false,false
CCP30,21,formal-run-21-CCP30-solution-0152,b05bf1bb0899d620472341bee9c1f9abbe3627b6306c43742486690de2a933b9,11859497.270432202,9822118266.02667,518.491923395237,12123921.130959544,9822118266.02667,572.9468900872106,false,false
CCP30,21,formal-run-21-CCP30-solution-0153,acb14e0ca6ea3287743062287dbe8d38b987e9247cd0080a832a8664cc318dc8,12032807.514152216,10057474848.616673,517.6875610243438,12359704.356324552,10057474848.61667,573.1521209019072,false,false
CCP30,21,formal-run-21-CCP30-solution-0154,a79d6305dac9407e350aae7ca48f890bf0b4b64bdf24b1b1c65625e7bb9776b2,12047659.385124097,10508651626.710001,507.2111692305486,12316385.222326053,10508651626.710001,572.1504864533226,false,false
CCP30,21,formal-run-21-CCP30-solution-0155,3d9c01eafd0e3e9122a137fd979d367334abff9a7113172c7c656b5f80fd79f6,12169683.638533048,10092168444.206665,525.2063088914628,12491418.224295499,10092168444.206669,608.2256206833019,false,false
CCP30,21,formal-run-21-CCP30-solution-0156,cfec53e5830eda2456515cc2e31a5142a10b81a08c6168dcbb5b310bfc51fbe9,11966986.26340749,10577366136.156666,508.23026460280363,12233177.348567145,10577366136.156668,572.3991249965993,false,false
CCP30,21,formal-run-21-CCP30-solution-0157,daec4fbd909502128e002f5b770b82751c7d8d0a12b72272f6565ced35f6010c,12029417.430709107,10527306866.91667,508.74517021928176,12295851.277849229,10527306866.916668,572.3991249965993,false,false
CCP30,21,formal-run-21-CCP30-solution-0158,6e80a679f55248b9c2be627529c2b1c8aff10eb1a98eb6b45c412fc24095672f,12133226.906849537,10452237494.366669,507.30360415804347,12402363.775991593,10452237494.366667,572.2086066754548,false,false
CCP30,21,formal-run-21-CCP30-solution-0159,4e0f33b3f41737a388adf683b279a72aaf29abda8b74db0cea37b5257328794e,11837089.1659992,10420425721.072594,513.2490963307556,12086963.856923388,10420425721.072594,572.4229869473961,false,false
CCP30,21,formal-run-21-CCP30-solution-0160,484ef598d041146dc2bacc43823552a7c165edfd149d327f3c772e444fe9b796,11905489.600092389,9634187596.78,533.2916514318127,12172584.250172148,9634187596.78,582.772422485043,false,false
CCP30,21,formal-run-21-CCP30-solution-0161,f66ef9a2b6e9e3a3f005035a185310942be7f082481a1ec5e3a19879f2129aaa,11987379.350034175,10147028127.916672,517.2686142367799,12309568.508577565,10147028127.916672,573.1496202826046,false,false
CCP30,21,formal-run-21-CCP30-solution-0162,ac31d2c26187e01a137c4c0caa8648bce2fce8ef9391ef2825f7b8864164c8c6,11822008.806179153,9972604047.087782,517.6179325754795,12077013.280288663,9972604047.087782,572.8454891969038,false,false
CCP30,21,formal-run-21-CCP30-solution-0163,3757d12c1332576f9cabda262bac02103d49a3ef84a92196b91935496098c7de,11984513.405622626,10622285327.630003,519.9761459633643,12270825.229543243,10622285327.630001,579.1158765465874,false,false
